,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
DRUG_CATEGORY,-0.97292495,-1.6729479,-1.6545322,-1.0024337,-1.5228916,-1.3906288,-1.307852,-1.2325627,1.4440976,-1.1648055,1.5711395,-1.1628587,-1.7380942,-1.1098325,-1.3944925,-1.9319456,-1.0929343,-1.5131705,-1.2817987,-1.2921832,-0.9839334,-1.2437851,-1.6104646,-1.3302284,-1.3869905,-1.457668,-1.2701143,-1.1891989,-1.4056596,-1.2130463,-1.3609068,-1.0583273,-0.8322336,-0.31475252,-1.2003295,-0.90662825,-1.3045582,-1.054736,-0.93861437,1.6051495,-1.1335125,1.3616655,-1.0002358,0.035859924,1.4129661,-1.3685373,-1.1482668,-1.7659525,-1.1134667,-1.3545095,-1.1580637,-0.1605267,-1.1105666,-1.1611238,-1.3340044,-1.930288,-1.0590736,-1.1436695,-1.1059228,-1.1476374,-1.5236303,-1.1833938,0.7653625,-0.045201764,-1.3083714,1.8178114,-1.4365745,-1.143843,-0.72517306,-1.2243916,1.6144369,-1.1942407,-1.8714958,-1.835952,-0.9757227,-1.1040262,-1.5517977,1.3468089,1.3868291,-1.5273297,1.2267462,-1.3566847,1.2735248,-1.492875,-1.5748233,-1.0004364,-1.3412862,-1.26994,-1.3396844,-0.42150822,1.7809565,-1.3387436,-1.2728032,-1.3438275,-1.6387674,-1.4030716,-1.5039527,-1.1682317,1.258885,-1.5181133,0.5810975,0.09686167,-1.6287488,0.5536819,-0.4310589,-0.75909644,-1.3556982,-0.22622496,0.9506679,-1.1294191,1.3505992,-1.5280162,-1.1121596,-0.60557675,-1.4511513,-1.8375396,-0.68309975,1.0786381,0.6738551,-0.900072,-0.5189149,-0.48692885,-0.7437164,0.58120054,-1.2907618,-0.66368985,-0.4036201,0.42160666,-0.076323874,0.6729468,1.3226795,-0.35527983,-0.37864548,-1.6130997,-1.17537,-1.3583363,0.32324505,-0.29728058,-1.6187434,-1.06055,0.124371506,-1.3942422,-1.3064764,0.8547727,1.3498572,-1.1980895,0.42517242,0.8341167,0.69737,0.82152975,-0.34390697,-1.6884527,-0.7588191,-0.6996548,1.4440082,-0.26186243,-1.1357274,1.3438772,-0.7149705,-0.59209526,0.4733018,-0.3432452,0.2465954,-1.8782873,-0.92016315,-1.8030723,1.2121936,0.77158755,1.6650563,-0.79875857,0.8046995,-0.7124741,-1.4372098,1.1321746,-0.7184499,-0.23090938,-1.0870353,1.2382089,-1.4360344,0.40455484,0.7479488,0.7326296,-1.5177538,-0.68941206,-1.1146936,-1.1858058,-0.3240595,0.709699,-1.30996,-1.366504,-0.33842635,-0.47531828,0.75743103,-0.31478444,-1.6601529,-0.7512895,-1.4438717,0.54968643,-1.3417821,0.93184274
PATHWAY_ENZYME,0.6647013,0.75678146,0.7863456,0.84195626,-1.0202948,-1.0146316,0.6822239,-0.8879899,0.74698704,-0.86305666,-0.73575467,0.7575256,0.76830715,-0.994909,0.7657531,0.7951067,-0.8894295,-1.045251,-0.96326214,-1.0907555,-0.7442636,0.6736419,-0.9766201,-1.1111813,0.67908305,-1.0716753,-1.0161422,-0.7909655,-1.0506221,-1.0706732,-0.79743433,-0.872894,-0.84228826,0.71539223,0.7409118,0.68391234,-1.0582689,-0.92565215,-0.7968675,0.79400194,-0.9068201,0.65197533,0.59174883,0.8248219,0.7436321,0.7866167,-0.96954054,0.7514886,-0.91235286,-0.8591207,-0.9300333,0.92039424,-0.84929335,-0.91171837,0.7662583,0.7953158,0.6353812,0.74351865,-0.7403841,-0.9035896,-1.1012739,-0.91087335,-0.745758,0.8417547,-1.0482401,-0.80715895,-0.6869964,-0.95736295,0.64018315,-1.0026385,0.8075475,-0.99149936,0.6890188,0.8365897,-0.8282663,-0.8108013,-1.1167425,0.8269067,0.8433512,-0.7912583,0.834369,-0.86890143,-0.79696625,-0.8224011,-0.7362664,0.7052027,-0.9675033,-1.0158024,0.5844816,0.7953154,0.8560825,-0.99686396,-0.9919603,-0.9733105,-0.90740246,-0.9689743,0.688146,-0.9435675,0.80069226,0.7834876,-0.80517447,-0.7915225,0.79981315,0.9713384,0.3485834,0.50982445,0.8279447,0.31324115,0.7656824,0.085464515,-0.39878365,-0.7247509,0.8082232,-0.46602693,0.74554914,-0.83889246,0.16034636,-0.49922627,-0.37233466,-0.3791906,0.51709217,0.63897943,-0.50199336,0.447775,-0.7203744,0.38830668,0.037235767,-0.63662106,0.39338034,-0.14713332,-0.625448,0.0817986,0.32811728,-0.74787414,0.7653298,-0.7155261,-0.31209671,-0.29187247,-0.59767556,-0.8493061,-0.27279633,-0.6638446,0.7299246,-0.8142768,-0.76955026,-0.7524432,-0.16376485,0.8672038,-0.15055215,0.6615227,0.21808858,-0.84445095,0.116472326,0.23490585,-0.66126555,0.8265688,0.7628027,-0.84196764,0.11853739,0.045398213,0.62773216,0.37495506,-0.8575658,-0.8813553,-0.45733613,0.54589635,-0.572568,-0.21528786,0.824743,0.1916009,-0.7318835,0.22295001,-0.80338746,0.82311887,0.40811747,-0.55423176,-0.7068805,0.8777309,-0.8314215,0.76189226,0.84392565,0.28236845,0.7469224,0.70504594,0.71249044,-0.7440899,0.42119297,-0.12577671,-0.6813166,0.92521465,-0.8757846,0.3790842,-0.0656436,0.18035097,0.8301598,0.36646333,-0.7433831,-0.12388405,-0.6820905,-0.73822147
DRUG_TARGET,1.649312,-1.4015875,-1.9974692,-0.7987041,-1.940063,-1.7157223,-1.6536741,-1.8018792,-1.8754863,-1.4892144,1.6968697,-1.7228135,-2.0371644,-1.3391267,-1.565139,-2.175509,-1.4464179,-2.0594676,-1.083784,-1.4019406,-1.3833835,-1.2815467,-1.6750925,-1.5226421,-1.9115334,-1.5754163,-1.5098847,-1.5046573,-1.5792172,-1.3407258,0.83954334,-1.3440062,-1.2491107,-1.9579551,-1.930214,-1.751902,-1.1730785,-1.4254458,-2.1976256,-2.2838812,-1.4150658,-1.5744057,-0.90423834,-1.3008944,-1.459959,-1.1319602,-1.1258208,-1.6008688,-1.323692,-1.8997692,-1.3571799,-0.9040613,-1.4395336,-1.237892,-1.5232795,-1.8934746,-1.4809027,-1.5183399,-1.3754214,-1.2273915,-1.8488196,-1.5987872,-2.2378883,-1.9554162,-1.4616754,-1.2016298,-1.7070827,-1.5513049,-1.7232333,-1.5098996,-1.91511,-1.4221847,-2.4639294,-1.6071255,-1.331493,-0.037565432,-1.7927701,-0.46021658,-1.6832207,-1.5404615,-1.216431,-1.6441005,-2.1702259,-1.9723054,-1.6657258,-1.6061476,-1.683004,-1.1928649,-1.6764275,-1.7442358,-1.2109411,-1.4584994,-1.193289,-1.5250477,-1.874512,-1.5774217,0.2578247,-1.553535,0.96706593,-0.91458917,0.8400808,-0.78892386,0.083520144,0.220444,0.56540024,0.74569947,-1.4067006,0.0962678,-0.723041,0.14300376,-1.6047082,-1.3543348,1.6784374,0.4416602,1.6505833,-1.8382248,-0.1426454,-1.1615461,0.7303028,0.32830992,0.88750017,0.97441614,-0.15014483,-0.03997161,0.70931476,-0.158509,-0.3662659,1.041577,-1.1126423,-0.39042303,1.6038462,-0.16636224,0.2705944,-0.980655,-0.9684237,-0.3058655,0.5069473,0.46478721,0.7201765,-1.8853493,1.0520864,1.012042,1.0103074,-0.90257746,-1.1588378,0.7443523,0.09025714,-0.23781757,-0.040540207,0.4120817,-1.2951028,0.96031946,0.04125447,-0.46511072,-1.3195328,0.5397504,-1.3705938,-1.966112,-0.1413482,0.70363146,0.037464153,-0.1737124,0.2320908,1.1640171,0.63913375,1.990752,1.4005473,-0.5298471,1.0249951,-0.10340935,0.9099761,-0.18695174,0.34727162,1.9851296,-0.3006903,0.6032982,0.33492643,-1.7324978,1.6590874,1.6614256,-1.8843191,-0.0027028278,0.06888115,-0.26612762,-1.0495634,1.2769601,-0.5166781,0.46691215,-0.90892667,-1.7427026,0.87082916,-0.10055515,0.26416674,-0.2883206,-0.60157436,0.24605641,-1.1744702,0.09758334,-0.14978352,1.6552547
DRUG_ATC_C5,-1.8686231,-2.3105793,-2.344441,-1.317283,-1.5160205,-1.0885158,-2.0194871,-1.1933824,-1.9315366,-1.8248119,-0.94535404,-1.5706456,-2.4239726,-1.3032516,-2.2217398,-2.522692,-1.5950716,-1.6846073,-1.3443013,-1.5132394,-1.8375221,-1.6025472,-1.181135,-1.3737327,-2.2860644,-1.4144552,-1.2959913,-0.41847742,-1.2471508,-1.2289869,1.3503784,-1.3374798,-1.3520697,-2.229758,-1.4995841,-1.8731953,-1.2979233,-1.2396011,-2.220868,-2.33784,-1.3934691,-1.9014782,-1.8896759,-1.9468914,-1.7038314,-2.068173,-1.1194501,-2.204709,-1.4125302,-1.6666859,-1.4343004,-1.6736629,-1.5654548,-1.0703042,-1.9351928,-2.3343718,-1.7155329,-2.084399,-1.1420342,-1.3202589,-1.4014106,-1.6433855,-2.1550493,-1.9371052,-1.2716585,-2.4836438,-1.1139011,-1.4750408,-2.0893366,-1.4922968,-2.262291,-1.5987368,-1.8299137,-1.9403229,-1.3609381,0.5567051,-1.3148757,1.6158342,-2.0930364,-2.1327653,-1.3943876,-1.3903985,-2.4763167,-2.2917883,-1.6868807,-1.8275613,-1.2585583,-1.2494832,-1.7493907,-2.0265212,-2.385051,-1.3649317,-1.3059727,-1.3609407,-2.400714,-1.4487584,-0.42359918,-1.4618614,-2.3693256,-1.7106469,0.7281646,-1.7146041,1.5932953,1.673313,0.49897873,1.6727246,0.7868429,1.21865,-1.786585,-0.5701674,-2.2137766,-1.8171895,-1.7142696,0.27724507,1.0404056,-0.8455222,-0.44135767,-0.96852773,0.33608437,-1.0368757,1.0219673,-0.96036357,-1.6281073,-0.47920993,-0.007012109,0.6749295,-1.150809,-1.7740424,-0.8415028,0.6727731,-0.82210153,0.89044523,1.1072618,0.65276957,-1.668568,1.6049048,1.2195262,-1.3435819,0.046550564,-1.171588,0.43927315,1.7104157,1.1165763,-1.2606679,1.1432788,0.7037218,0.8806452,0.1237526,-0.0035882161,-0.7300247,-0.20303427,-0.38153586,-0.02307673,0.16040677,-0.9653482,0.07542898,0.9389605,1.2771504,1.2441124,0.5500901,0.20303333,-0.004024313,-0.3925176,0.15184297,-0.64517576,-0.20927711,-1.9596651,0.508388,1.2975274,-0.86331594,-1.1843501,-0.83494467,-2.0554416,-0.26417136,1.6050754,-2.0938077,-1.6332653,1.7305558,1.1086792,-1.379166,-1.8507981,1.0444261,0.6821546,-0.24708542,-0.7750072,-0.3589138,-1.4258224,-1.5338706,1.2556543,2.0499256,0.15966207,1.0997633,0.8026138,0.8494388,0.8221098,-0.49554518,1.3893638,0.7908586,1.0988493,-1.202688
DRUG_ATC_C2,-0.97088593,-0.97958475,-0.8204146,-0.97892046,-1.4750206,-1.4509538,-0.067105815,-1.4679502,1.5042286,-1.6848645,0.80583555,1.3707651,-1.48217,-1.3850932,-1.1148809,-1.3979512,-1.0780172,-1.8503801,-1.275595,-1.4938996,-1.401826,-1.4128162,-1.6920207,-1.3839802,-1.3617822,-1.4910815,-1.3516212,-1.3058667,-1.555481,-1.2907383,-1.4649175,-1.1422459,-1.0369415,-1.2851123,-0.45180798,-1.5307575,-1.307443,-1.3012141,-0.99481267,1.4936402,-1.1199564,-0.8930155,-1.1536677,-0.8576899,-1.4403241,0.60489154,-1.1268815,-0.7568712,-1.2315373,-1.1685011,-1.2731575,-0.9021336,-1.5805552,-1.1882404,-0.88952875,0.4912719,1.1048871,-1.3100322,-1.2824608,-1.3196627,-1.6506028,-1.3737285,0.6175683,1.1572198,-1.6563747,-1.6701512,-1.4785953,-1.3505539,1.1596774,-1.2515224,0.37574163,-1.2755172,-1.4405737,0.7844129,-1.1505177,-1.5029231,-1.6317729,-0.4742877,-1.1158662,-1.5305345,-0.7307551,-1.3573413,-1.3996729,-1.8209361,-1.3314742,-1.0348344,-1.3218307,-1.3510597,-1.1660051,-0.5977544,1.625524,-1.3119206,-1.289254,-1.3427448,-1.5399954,-1.4381112,0.923384,-1.3336241,1.4270344,1.1351507,1.3065405,1.2066817,-1.5827178,0.51385045,-0.88794464,0.31206402,-0.09757459,-0.11153815,-1.3292098,0.010176881,1.3175343,1.3904103,1.27101,-0.057264574,-0.35938385,-1.6151766,0.019872269,-0.1399975,-0.063516796,-0.2438997,-1.148383,-0.44990602,-0.8152529,-0.008051959,-1.2873257,-0.6159981,-0.5337615,-0.18441729,-0.108920924,0.23603804,-0.315899,-0.43422636,-0.18546923,1.1530712,-1.5872058,1.6285284,0.8700205,-1.2673118,-1.2977821,0.7965239,0.88452345,1.456696,1.1780841,1.3049295,0.5079952,0.68217725,0.094451256,-1.3129517,0.25438717,-1.0059394,-0.5608338,-1.0907894,-0.86007595,-0.29615018,0.67040765,-0.9150756,-0.69472975,0.23408179,-0.6397123,-0.37255043,0.36965123,-0.8726612,1.3234658,0.720015,0.04304822,0.8479337,0.45576864,0.63710296,0.7547038,-0.7662848,1.3310552,0.48327675,-0.7742109,-1.3012284,-0.11998929,-0.36281517,-0.8696801,-1.1955646,0.9654315,-0.25070179,-1.4136467,1.0298756,-1.2009497,0.9183108,-0.91151667,0.8546773,-0.028371444,0.38242346,0.5930191,0.7567463,-0.03942503,-0.36206976,0.47423378,-0.86915076,-0.82087845,-0.08839475,-0.47176248,0.25216442,1.421318,1.0506842
DRUG_PATHWAY,1.4718258,-0.17495999,-0.7499485,0.98890674,-1.303831,-1.1389745,1.2769669,-1.4471933,-0.35340858,-1.1734219,0.04847385,-0.78894347,1.0790663,-1.2301239,-0.6898002,-0.22246516,-0.85909253,-1.36778,-1.2539445,-1.6261619,-1.188685,-1.0012715,-0.97782254,-1.4781219,-0.2230713,-1.0552781,-1.2752752,-1.248855,-1.2920673,-1.2333171,-1.6207083,-1.0743285,-1.2410305,-1.0463512,-1.6167076,0.181663,-1.2376395,-1.355602,1.604303,0.7764628,-1.0496128,-1.0942498,-0.27507204,0.9194463,-0.75492316,0.1836214,-1.1975576,-1.463407,-0.9483295,-0.24124482,-1.2978877,-1.5738214,-0.89284956,-1.1021343,1.3532351,1.3355435,-1.1816592,1.2945185,-0.9703729,-1.3741817,-0.41634202,-1.2100632,1.5784271,0.7954936,-1.3540794,0.91919667,-1.0949318,-0.9541249,-1.174551,-1.2144796,-1.4375612,-1.0423256,-1.6001765,-0.95443195,-0.8324592,-1.545802,-1.5091077,-1.1496773,-1.4315727,-0.03907,-0.61170995,-0.96149206,1.1507009,-1.3267492,-0.50325626,-1.3544679,-1.0783874,-1.224956,1.0906565,-1.6260768,-1.6950855,-1.1637372,-1.3746595,-1.1093531,-0.3846736,-0.91164774,-0.8754448,-1.1383818,1.406814,-1.2281712,0.38075846,-1.4537542,-0.5873316,-0.018770875,-0.5592634,0.17166962,-0.057068676,0.19700825,1.4647335,-0.67832196,1.5439432,-1.4381827,1.2344021,-1.0279939,1.1560526,1.2869754,-0.07635435,-0.41799185,0.00086192973,-0.117718406,-1.3302275,0.37557966,-0.9014532,0.11482066,1.0182042,-0.099979915,-0.9445686,-0.9986991,-0.10595792,1.0246228,-1.0371845,-0.60682243,-0.21825404,-1.2798539,-0.4788931,-1.203747,-0.030804563,-0.30381683,-0.73965305,-1.6768111,0.37112087,0.090510495,1.3548434,-1.6336619,-1.2756685,-0.71858126,0.18166408,0.70760375,0.11275443,-1.4645902,-0.55230707,1.2836592,0.03994994,0.14858735,0.19072735,-0.9491018,0.299947,-1.6027275,-0.43913078,-0.39720517,-1.2564946,-0.20201986,-1.1234565,-1.3197322,-0.2568314,-1.3820393,-0.84536713,0.73560494,1.4219759,-0.61473,-1.2086064,0.65034217,0.66959554,1.3421845,-0.16444936,-1.0093079,0.594864,-1.336648,0.63317275,-1.5258018,1.3374693,0.97227204,-0.6409268,0.7343514,1.1310517,-0.54273117,0.1330375,0.7364687,-0.68770444,1.22509,0.75322515,0.12565984,0.40529752,-0.93670356,-1.050511,0.33034202,-1.008124,0.8601415,1.3497437,0.81469226
DRUG_ATC_C3,-1.6433384,-1.7498684,-1.9657327,-1.372444,-1.7346166,-1.4459012,-1.410392,-1.5013326,-1.3174218,-1.6076137,-1.6210561,-1.731027,-2.1175768,-1.4503992,-1.5457109,-1.985843,-1.3362775,-1.8847841,-1.3378263,-1.6325458,-1.7834587,-1.4779619,-1.5357114,-1.3591194,-1.8604405,-1.552787,-1.3837352,-1.1097457,-1.4419703,-1.2349048,-1.6405885,-1.1511266,-0.8746328,-0.9404249,-2.0501425,-1.3774412,-1.2358634,-1.4450421,-1.8743402,-1.3225995,-1.3243481,-1.6647162,-1.4909313,-1.3839632,-1.3797243,-1.3228122,-1.0884347,-1.6878275,-1.1054962,-1.2285463,-1.2832991,-1.1205796,-1.3903056,-1.1693523,-1.1671466,-1.4482144,-1.0441331,-1.392151,-1.2881817,-1.1828976,-1.7414737,-1.693359,-1.5379672,-1.2663321,-1.5449654,-2.10803,-1.4525405,-1.4162195,-1.3907312,-1.4044069,-1.503569,-1.4143891,-1.9476035,-1.5777087,-1.1398758,-1.6998566,-1.6243261,-0.5943458,-1.1416812,-1.6760727,-0.95792186,-1.6651376,-2.036858,-1.9546505,-1.4491954,-0.6944141,-1.5509701,-1.2841985,-1.5520227,-1.6121393,0.9474252,-1.5547725,-1.3597181,-1.5410353,-1.9810774,-1.513428,-1.2310907,-1.5312676,-2.001261,0.99459326,0.69876194,-1.011792,-0.24738257,-0.5491686,0.14347845,0.6307878,-0.18889831,0.34450173,-1.7857322,-0.006744514,-0.48545235,-0.16485776,-0.81914705,0.28685462,-0.52532274,-1.3471742,0.110729426,0.08720848,-0.31502333,0.1245538,0.14224194,-0.5231565,-0.7113524,0.16005315,-1.0561078,0.4896964,-0.966706,-0.4240085,-0.14635107,0.3933976,-0.53665996,0.031051109,0.3768791,1.5132394,-1.0844952,1.4120347,0.6154516,-0.61606014,1.1625832,1.3951825,0.19719018,0.48161748,0.26705152,0.031030862,0.6971792,0.20088105,0.15097192,-0.13803111,-0.10482807,-0.93475443,0.18096131,0.42497632,-0.025198322,0.039716374,0.68399566,0.7122353,0.6625538,-1.1453838,-0.1696435,0.33593518,-0.661474,-0.2824025,0.806473,-0.4133806,0.42185956,0.008598906,-0.7595734,0.59264225,0.9577134,-0.5892804,1.0255806,-0.465456,-1.0243189,-1.0909283,0.3971585,-0.014835125,-0.985819,-1.1367052,1.379847,-0.6309046,-0.80570185,0.91591954,-0.5101591,0.45724875,-0.397558,0.91143894,0.019305374,-0.7567421,0.025965272,0.67910606,-1.4371165,0.40484855,0.6135426,0.24724907,-0.79902726,0.18554237,-1.2948995,0.12008425,0.24555752,-0.7713091
TYPE,0.8134276,0.69567937,0.5865729,-1.471277,-1.7619458,-1.5028373,-0.008474582,-1.7367927,-0.31366155,-1.357177,-0.6877776,-0.54372406,0.50929517,-1.2915046,-0.5527107,-0.18648764,-1.0354638,-1.4484286,-0.5124365,-1.6846642,0.40341222,-0.3568819,-1.5666829,-1.6754256,-0.8649655,-0.9980947,-1.6494421,-1.0132263,-1.7328933,-1.6371547,0.8731341,-0.9802663,0.17305368,-0.7285411,-1.0440599,0.62435454,-1.6334213,-1.0155431,0.00986483,-0.04112013,-0.55000436,0.36267856,0.5712278,-0.9527402,-0.04707038,0.6682799,-0.7449675,0.8683051,-0.92637986,-1.0199053,-0.54562193,0.62838024,-1.5947838,-1.2148764,-0.4448725,0.72949165,-1.053354,1.1143302,-1.2274246,-1.3028793,-1.6906997,-0.56573457,-1.2469279,-0.515914,-1.5588387,0.19426176,-1.2622888,-1.4791788,-1.3815457,-1.5791117,-0.48596162,-0.80435145,-1.0880162,-1.0546275,-1.1426315,0.3004571,-1.7369937,-0.07154788,-0.5392311,-0.8996842,-0.819617,-1.5055114,-0.41502395,-1.0576938,-1.0926511,0.43831164,-1.6256987,-1.7215965,0.7409678,0.6317548,-0.7072957,-1.4318975,-1.5855696,-1.7731405,-0.58947575,-1.6139011,-0.30303413,-1.4424237,-0.654472,0.681289,0.7845706,0.8689037,0.9502754,-0.97191083,-0.08650803,-0.5497801,0.54031336,-1.3154824,0.7892527,-0.18338339,-0.6747006,-0.33849224,-0.30160213,-0.096811764,0.27990848,0.02483795,-1.1177535,0.30351406,-0.89571226,-0.14457302,0.81675106,-0.49968925,1.2153469,1.1651205,-0.5649402,0.9943229,-0.35995606,-0.26947677,0.20428541,0.9443554,0.23659335,0.9920127,-0.9871994,0.21098652,-0.09137165,-0.57308984,-0.547485,1.1294253,-0.25336537,0.0014738729,-0.94962513,-0.8276958,-0.8038699,-1.0588865,-0.6612138,0.34245563,-0.70473856,0.4239962,1.1182699,-0.09048343,0.52950585,-1.1260846,-0.6468211,0.30080003,-0.16063006,-0.5771972,-0.77626646,0.005677062,-0.3021898,-0.6856997,1.1168618,0.3610069,0.81624526,0.5358515,-1.1866924,-0.9534499,-0.7038622,-0.043967117,0.9839404,-0.10314278,-0.61643046,0.33194718,0.4383934,0.37623852,-0.11046717,0.51727843,-1.0960637,-0.009631888,0.250369,0.7196156,0.920428,-1.0202695,0.36331102,-0.77035916,-0.3849558,0.09046719,0.33667898,1.0565405,-0.38531286,0.7315106,-0.24866757,1.0264897,-0.57153493,0.4301671,-0.041600537,-0.5957302,-0.9636328,-0.18134923,-0.60658324,-0.60841155
PATHWAY_CATEGORY,0.45571613,-0.0754781,-0.44882372,0.45655483,-0.2661071,-1.2208906,0.63460964,0.321162,-0.34560502,-0.20017537,0.5799447,1.1440461,-0.073807,0.15157983,0.6382194,-0.046869628,-1.283513,-1.5481498,-0.041033603,-1.4451948,0.6905507,0.7264605,-0.51767766,-1.4212689,-1.4929631,-0.36769682,-1.4469143,0.22629245,-0.8272753,-1.4419588,-0.72116584,-1.3224684,-1.0247648,-0.2951817,0.9295062,-0.85371953,-1.4624043,-1.3284088,0.6208042,-0.31235385,-1.2358323,-1.0030131,0.84094256,0.72769684,-0.66820514,0.36003548,-1.2822758,0.41737098,-0.72043157,-1.1980636,-0.79612255,-0.19636023,-1.3790843,-0.97321934,0.70986325,-0.28715017,-0.6981013,0.4579276,-1.2430195,-0.47932848,-1.5408461,-1.4645839,-0.8222536,-0.71936667,-1.3694413,1.499407,0.85218966,-1.3942742,-0.46838456,-1.4805771,-0.97206044,-1.2086034,0.80868804,0.362546,-0.362015,0.1585422,-1.4065922,0.95799184,0.47870016,-0.48390922,0.15709625,-1.25817,-0.38104793,-0.93092364,0.88959605,1.1288476,-0.93594766,-1.4462143,-0.68903756,-0.6893355,-0.34522438,-0.8982454,-1.0494988,-1.4505135,-0.56666684,-0.1702231,0.82434195,-1.0350789,0.5661764,-0.7434603,0.8157616,0.0870686,-0.6325146,0.46550512,0.364718,1.232906,-0.70771885,0.9938458,-0.5256211,0.16363259,0.18970478,0.5270769,-0.69863605,-0.6786297,0.80182976,-0.7767773,0.12794083,-0.54478955,0.008660142,-0.9170082,1.109076,0.71660453,-1.386317,0.4209391,1.2063059,0.7774049,0.6318236,-1.1387582,-0.22956078,0.19383544,0.9161806,0.77824545,1.1085981,0.22725958,0.6800133,0.42469063,-1.1988887,0.37665093,-0.864856,0.13721013,-1.0454665,-0.44471398,0.84627056,-0.67520684,0.92817324,-0.20410275,-0.4039976,0.10648534,-0.9811285,0.034263212,0.82150155,-0.6177221,0.97416717,0.20318992,0.014804783,0.084193625,0.88885105,0.57723135,1.0191879,1.3239257,0.13923427,0.597499,-0.833446,0.87156004,-0.44597104,-0.18414849,0.56658137,0.047319327,0.13234569,0.25285402,-0.17399715,-0.1319375,-0.9732543,0.35569122,0.6516715,0.9819611,-0.39613742,-0.48197618,-0.07888313,0.49728125,0.68501437,-0.13632105,0.5568049,0.18124843,-0.5912907,-0.51654816,0.20245361,-0.92545134,-0.019065956,0.713213,0.59826046,1.3555592,-1.1367933,0.3458908,0.0130654,-0.025610227,-0.117104575,0.29096085,0.22640617,-0.48327333
DRUG_ATC_C4,-1.631215,-1.7812213,-1.9004142,-1.4230851,-1.5198472,-1.18398,-1.5115772,-1.2524378,-1.6968365,-1.7146968,-1.2160496,-1.5550699,-2.1641278,-1.4574881,-1.8111562,-2.4074607,-1.2768601,-1.9119695,-1.4931237,-1.5225736,-1.6437798,-1.7225825,-1.7013996,-1.4879144,-1.7431455,-1.4721487,-1.4189161,-0.99641013,-1.3881809,-1.3952885,-1.1496987,-1.2183313,-1.1331766,-1.7748616,-1.8234953,-1.5765952,-1.3830992,-1.4525719,-1.9819274,-2.1317675,-1.1416547,-1.8152064,-1.4240752,-1.6869549,-1.3432487,-1.6388394,-1.2338773,-1.9321574,-1.3197074,-1.7694607,-1.4079517,-1.364895,-1.5160269,-1.2091688,-1.5561816,-1.907176,-1.1991571,-1.6942784,-1.2051798,-1.332172,-1.680467,-1.574222,-1.7898163,-1.4631519,-1.5740702,-2.038954,-1.3505919,-1.5070748,-1.7258809,-1.41021,-1.9833146,-1.6057204,-1.9780666,-2.1584353,-1.2427121,-1.6577932,-1.598569,0.48490736,-1.6524563,-1.6477497,-1.2335438,-1.787925,-2.2206898,-2.1010232,-1.7490944,-1.5635943,-1.3516024,-1.2741082,-1.5336146,-1.825653,-2.099658,-1.5075775,-1.3692079,-1.5812205,-2.1731849,-1.4990956,-1.4713264,-1.5008429,-2.004304,-1.6569079,0.74037397,-1.47057,1.4561235,0.61523545,0.83920616,0.91458046,0.5063432,1.0753926,-1.5801024,0.10231762,-1.6692283,1.1532133,-0.75532794,0.62065303,0.5805922,0.23980445,-0.36848637,-0.8431036,-0.359771,-1.0627861,1.2357305,-0.6372231,-0.92548716,-0.20684518,-1.8455563,1.1413329,-0.98530364,-1.184819,-0.02641409,0.527179,-1.5637472,0.19891891,0.70995253,0.6136765,-1.2289507,1.6890143,0.520864,-0.49602532,-1.0009928,-0.06584925,0.59883064,-0.18521185,0.56360257,-1.0553709,1.4263436,0.6733671,0.32930493,-0.27680185,0.16549173,-0.17195204,0.36160424,-0.5000152,0.18651752,0.8127757,0.7736662,-0.44702533,-1.2163582,-0.6757028,0.56541693,0.54777145,0.20771359,-0.16265826,-0.05827383,1.0640676,-0.48934385,0.48312038,-1.3407755,0.6135092,0.803083,-0.40919143,-0.2051999,-0.89517236,-1.4871835,-0.30155358,0.81282175,0.26319063,-1.3812528,1.8140395,1.4869465,-0.7705607,-1.340338,0.6242022,-0.18435964,-0.2109849,-0.071897954,0.1698667,-1.0404774,-1.1166624,-0.49755833,1.3432956,-0.50029445,0.69025606,0.7326403,0.9324362,0.7703283,-0.18745403,-1.4434351,0.20644361,0.5447681,-0.23023462
