Model,Dimension,Group,AUC-ROC,AUC-PR,Best_F1,Best_Threshold,Precision@Best_F1,Recall@Best_F1,n_positives,n_negatives,dropped_positives_oov,dropped_negatives_oov,neg_ratio,neg_sampling,seed
TransE,100,Sp,0.6724839074121551,0.25594677077676425,0.29335161069225496,-11.047348022460938,0.2743589743589744,0.31516936671575846,2037,18888,0,1482,10,degree_matched,42
TransE,100,Sd,0.579814162560067,0.16279353161469945,0.2,-12.324493408203125,0.18814139110604333,0.21345407503234154,773,7283,175,2197,10,degree_matched,42
TransE,100,St,0.3677534088847879,0.015933020429154433,0.04033149171270718,-16.04852294921875,0.020580772483789117,1.0,73,3474,338,636,10,degree_matched,42
TransE,100,Sdt,0.23413258110014107,0.010171560293034737,0.030095759233926128,-16.115503311157227,0.015277777777777777,1.0,11,709,90,301,10,degree_matched,42
TransE,200,Sp,0.6904709662850981,0.28705924979612585,0.31953488372093025,-14.967854499816895,0.3035793194874061,0.33726067746686306,2037,18888,0,1482,10,degree_matched,42
TransE,200,Sd,0.5713676198217366,0.1745955118930217,0.1986970684039088,-16.562978744506836,0.14497920380273321,0.31565329883570503,773,7283,175,2197,10,degree_matched,42
TransE,200,St,0.4481234375123225,0.01896995300094425,0.041666666666666664,-14.969481468200684,0.03361344537815126,0.0547945205479452,73,3474,338,636,10,degree_matched,42
TransE,200,Sdt,0.23361969483267084,0.010159966482571774,0.030095759233926128,-21.828746795654297,0.015277777777777777,1.0,11,709,90,301,10,degree_matched,42
TransE,300,Sp,0.6672616656447006,0.25489977163332656,0.2978326730365882,-18.840057373046875,0.2834960070984916,0.3136966126656848,2037,18888,0,1482,10,degree_matched,42
TransE,300,Sd,0.5830850841039554,0.16790300621704396,0.21445221445221446,-20.446653366088867,0.16763848396501457,0.2975420439844761,773,7283,175,2197,10,degree_matched,42
TransE,300,St,0.39200400627755305,0.016317077504158548,0.04049930651872399,-23.85833168029785,0.020668176670441678,1.0,73,3474,338,636,10,degree_matched,42
TransE,300,Sdt,0.3127324015899474,0.011555000315055138,0.03076923076923077,-24.308313369750977,0.015625,1.0,11,709,90,301,10,degree_matched,42
ComplEx,100,Sp,0.8533013482883471,0.48232577683215566,0.49547920433996384,0.8395652770996094,0.5229007633587787,0.47079037800687284,2037,18888,0,1482,10,degree_matched,42
ComplEx,100,Sd,0.7105887658779,0.28512044338990017,0.2825040128410915,-1.7850360870361328,0.37209302325581395,0.2276843467011643,773,7283,175,2197,10,degree_matched,42
ComplEx,100,St,0.6130235565965568,0.09705091083658761,0.1951219512195122,1.1236697435379028,0.24,0.1643835616438356,73,3474,338,636,10,degree_matched,42
ComplEx,100,Sdt,0.25272470829593535,0.010635089690865107,0.03249630723781388,-7.738574504852295,0.016516516516516516,1.0,11,709,90,301,10,degree_matched,42
ComplEx,200,Sp,0.8649178829935062,0.5465850139819239,0.5354930919485469,0.10495296120643616,0.5201295696436835,0.551791850760923,2037,18888,0,1482,10,degree_matched,42
ComplEx,200,Sd,0.7103900895224822,0.30604595326769085,0.2964705882352941,-2.4580585956573486,0.37649402390438247,0.2445019404915912,773,7283,175,2197,10,degree_matched,42
ComplEx,200,St,0.6357087089218538,0.09094360225282458,0.19469026548672566,0.6805859804153442,0.275,0.1506849315068493,73,3474,338,636,10,degree_matched,42
ComplEx,200,Sdt,0.26952173355558406,0.011731048463599306,0.03333333333333333,-3.5275964736938477,0.02040816326530612,0.09090909090909091,11,709,90,301,10,degree_matched,42
ComplEx,300,Sp,0.8745126687413723,0.5726968032376509,0.5654747809614018,-0.28131040930747986,0.546203110704483,0.5861561119293078,2037,18888,0,1482,10,degree_matched,42
ComplEx,300,Sd,0.7226653929590947,0.3290262422007475,0.3115727002967359,-3.015625476837158,0.3652173913043478,0.2716688227684347,773,7283,175,2197,10,degree_matched,42
ComplEx,300,St,0.6401487369973423,0.0887168212785763,0.21739130434782608,0.04689444601535797,0.23076923076923078,0.2054794520547945,73,3474,338,636,10,degree_matched,42
ComplEx,300,Sdt,0.32375945634055653,0.01179553509452022,0.03206997084548105,-8.67104434967041,0.016296296296296295,1.0,11,709,90,301,10,degree_matched,42
TriModel,100,Sp,0.7509493082963066,0.30330550706649756,0.36259877085162423,2.8621082305908203,0.32790789996030173,0.4054982817869416,2037,18888,0,1482,10,degree_matched,42
TriModel,100,Sd,0.6457388318043454,0.20129478564437153,0.24325162891715793,0.3188071846961975,0.16,0.5071151358344114,773,7283,175,2197,10,degree_matched,42
