Model,Dimension,Strategy,AUC-ROC,AUC-PR,Best_F1,Precision@Best_F1,Recall@Best_F1,Best_Threshold,n_positives,n_negatives,neg_sampling
ComplEx,100,Degree-Matched,0.7975785199134016,0.4843351769108124,0.5074294205052006,0.5485943775100401,0.4720110573600553,-0.6576777696609497,2894,30309,degree_matched
ComplEx,100,Uniform,0.7777507088187249,0.4040184651359547,0.4360851063829787,0.4297215699429721,0.4426399447131997,0.0916848331689834,2894,30309,degree_matched
ComplEx,200,Degree-Matched,0.8012227170031194,0.4981623833293684,0.5217055759212811,0.5906509392747925,0.4671734623358673,-1.0157427787780762,2894,30309,degree_matched
ComplEx,200,Uniform,0.7877901669473395,0.4517389210209599,0.4684516008238157,0.5112382509194933,0.4322736696613684,-0.0023669004440307,2894,30309,degree_matched
ComplEx,300,Degree-Matched,0.8083359343931429,0.5299779160893955,0.5377821393523062,0.6224443434802363,0.4733932273669661,-1.2362972497940063,2894,30309,degree_matched
ComplEx,300,Uniform,0.7985486530888039,0.4790753853997272,0.4986625907527703,0.5576923076923077,0.4509329647546648,-0.2833870649337768,2894,30309,degree_matched
TransE,100,Degree-Matched,0.6337180507713651,0.190978162639213,0.2398852223816356,0.2051030421982335,0.2888735314443676,-11.499513626098633,2894,30309,degree_matched
TransE,100,Uniform,0.6095097083773598,0.1738490687117802,0.2262682418346073,0.1892583120204603,0.2812715964063579,-11.28585433959961,2894,30309,degree_matched
TransE,200,Degree-Matched,0.648867824731686,0.213824655838269,0.2651103293891909,0.2467261904761905,0.2864547339322736,-15.809492111206056,2894,30309,degree_matched
TransE,200,Uniform,0.6515538992377589,0.2486821578202181,0.2931001710701387,0.3257287705956908,0.2664132688320663,-14.92020034790039,2894,30309,degree_matched
TransE,300,Degree-Matched,0.6313670529642357,0.1863191926015771,0.2341772151898734,0.2159953298307063,0.2557014512785072,-19.408721923828125,2894,30309,degree_matched
TransE,300,Uniform,0.6685593979796622,0.2723470191927992,0.3047370991372293,0.2880886426592798,0.3234277816171389,-18.543004989624023,2894,30309,degree_matched
TriModel,100,Degree-Matched,0.6603187696557296,0.2100475788426433,0.2864516129032258,0.2686025408348457,0.3068417415342087,-0.3459266126155853,2894,30309,degree_matched
TriModel,100,Uniform,0.704886695372152,0.2575818826804221,0.3206692227256884,0.3234880450070324,0.3178991015894955,2.8736093044281006,2894,30309,degree_matched
TriModel,200,Degree-Matched,0.752796296054349,0.3504413817485192,0.3980003225286244,0.3731478681584517,0.4263994471319972,1.3891611099243164,2894,30309,degree_matched
TriModel,200,Uniform,0.7792197404284817,0.3641796230300586,0.3848131901376493,0.3422114608555286,0.4395300621976503,2.7691996097564697,2894,30309,degree_matched
TriModel,300,Degree-Matched,0.761336978260065,0.3934952856185202,0.4332220367278798,0.5468914646996839,0.3586731167933656,-0.3859084248542785,2894,30309,degree_matched
TriModel,300,Uniform,0.7955019359113,0.4048941071050704,0.4327387897982997,0.4180354267310789,0.4485141672425708,1.3753314018249512,2894,30309,degree_matched
