Model,Strategy,Dimension,MRR,Hits@1,Hits@3,Hits@10
ComplEx,Degree-Matched,100,0.4910710960763306,0.3957068008237103,0.551807731407867,0.6498579360321143
ComplEx,Degree-Matched,200,0.5056242458795225,0.4301410212965618,0.5436097281234523,0.6471078904152439
ComplEx,Degree-Matched,300,0.5019487284986893,0.4192320725699241,0.5507259599092876,0.6515262101504053
ComplEx,Uniform,100,0.5521068526431453,0.4923102989860021,0.5796861559314965,0.6644683679587102
ComplEx,Uniform,200,0.5736920407684492,0.5172040768448766,0.5969553997341188,0.6830539843077966
ComplEx,Uniform,300,0.5883620146825356,0.5341083856841228,0.611500664702969,0.6923337590907906
TransE,Degree-Matched,100,0.3042481791221755,0.2317467351354169,0.3364830696243776,0.4388473268513932
TransE,Degree-Matched,200,0.3444700868239372,0.2674842947631832,0.3889685373928003,0.4746370200453562
TransE,Degree-Matched,300,0.2563723379739904,0.1336965305111696,0.3432995334045825,0.4439824831217579
TransE,Uniform,100,0.3827644622439753,0.3215859030837004,0.4119985402601465,0.489938221724057
TransE,Uniform,200,0.4407234563427923,0.3692229491958397,0.4828350233297708,0.560566170528895
TransE,Uniform,300,0.3311953030904319,0.1564137319813361,0.4759794593749185,0.561178739931705
TriModel,Degree-Matched,100,0.5369444584550638,0.4581497797356828,0.584104475666658,0.6768631233219509
TriModel,Degree-Matched,200,0.5363109134180292,0.4473711649245366,0.5958605948439903,0.6817115449782343
TriModel,Degree-Matched,300,0.5668479711817913,0.5049135886140291,0.5982587388890337,0.6819461460261189
TriModel,Uniform,100,0.5806910453714361,0.5208664598701874,0.6078382816776582,0.6943409013893596
TriModel,Uniform,200,0.6028812489960382,0.5457472043375127,0.6288220420717879,0.712144514245497
TriModel,Uniform,300,0.6087876039643416,0.5506086593853452,0.6363032088209994,0.7187654771524646
