,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
DRUG_CATEGORY,0.23019762,-0.21977702,-0.08602412,-0.010257949,0.00011815914,0.13418879,-0.068605006,-0.12834272,-0.1501694,0.20663327,-0.054059748,0.006490484,0.076947175,-0.19949539,-0.22149861,-0.1363539,0.16969603,-0.18731993,-0.23717429,-0.07613038,-0.056748185,0.03571294,0.20139457,-0.23282366,-0.15952043,-0.023415424,-0.18907039,0.1311344,-0.21712145,-0.068073094,0.086500295,-0.23057841,-0.1856457,-0.18736318,-0.2167498,0.15866317,0.117782116,0.171096,0.02973411,-0.081247404,0.21885295,-0.23765537,0.102445856,0.18502258,0.12798207,0.18832211,0.14449872,-0.18355276,-0.0923399,-0.1280898,0.06310611,-0.08073266,-0.06929385,0.1557956,0.030522142,-0.036951393,-0.105406664,0.116459236,-0.20107967,-0.045948442,0.10640833,-0.1539039,-0.1543172,-0.069426455,0.15444526,0.05509321,-0.10481777,0.15198135,-0.103153974,0.15658425,-0.18528186,-0.2203284,-0.15912046,-0.0023668786,-0.062227942,-0.13558052,-0.14415437,-0.22344533,-0.2108453,0.08979558,0.105069935,0.13303836,-0.03862625,0.12629609,-0.109432034,0.16812508,0.009639478,0.0013667227,-0.20347768,-0.018964589,-0.023728201,-0.08990171,0.12879011,-0.01739877,-0.05564542,0.13592577,-0.07232376,-0.15906984,0.09101517,0.11271694
PATHWAY_ENZYME,0.019455578,-0.105882235,-0.07264048,-0.160752,-0.097408235,-0.09604524,0.20699295,-0.16790815,-0.09039851,0.09840556,-0.04808133,0.21735,0.17508888,0.1295325,0.14634216,0.10128923,0.18618609,0.19080178,0.010749915,-0.026097737,-0.16457702,0.091279164,0.086822905,0.10683921,-0.19327171,0.059713453,0.15289187,0.09203439,0.18967488,0.230772,0.035501704,0.023343721,0.15263501,-0.19336373,-0.055303913,-0.15420154,0.133947,-0.015308929,-0.1515843,0.11382828,0.21255977,-0.14249748,0.17805243,-0.06961705,-0.17719258,-0.10947874,0.013173954,-0.095841795,0.061860047,0.15969981,0.076330155,0.16947937,-0.22220844,-0.04061451,0.093122125,-0.11532383,-0.21517849,0.16256267,0.11089477,-0.16475631,-0.15598534,0.098446675,-0.031147618,0.07102674,-0.21201678,0.19462454,-0.11930041,-0.14289938,-0.12600246,0.20025414,-0.19266239,0.1456726,-0.13225879,-0.13001329,-0.10321741,0.16991836,-0.12700519,-0.08943685,-0.08965266,0.10977559,0.13799478,0.050329212,-0.17393076,-0.042157188,-0.16521819,-0.06450076,-0.03239805,-0.048073992,0.16491319,-0.21959916,0.13993843,0.25663054,-0.15783784,0.12918876,-0.21666147,0.2010624,0.22081439,0.13085921,-0.050254416,-0.18203852
DRUG_TARGET,0.11871633,0.08923601,-0.10557442,0.08506553,0.17076674,0.12569413,0.0872304,0.02930903,0.13289268,0.030217377,-0.17962812,-0.066685244,-0.085092105,0.03708678,-0.11329713,0.12894869,0.16332813,0.16273224,-0.099634275,-0.11875493,-0.23030758,-0.02233438,0.23363206,0.043814205,0.094559565,-0.038842857,-0.16261573,-0.14585792,0.07146507,0.08508302,0.11801469,-0.099784076,-0.15687583,0.11628563,-0.11869271,-0.12616193,0.04150121,-0.1459894,0.12220524,-0.13046314,0.15723307,-0.17106764,-0.06324173,0.17904739,0.069297284,-0.15657517,0.15973172,-0.12926848,0.11943526,0.029980877,0.19545197,-0.042222552,0.09129787,0.16849208,0.16608334,0.07349989,-0.16691782,-0.14653838,-0.14451379,-0.14454706,0.16755202,0.020158047,-0.1344256,-0.17249632,-0.011370573,-0.07999332,-0.18858518,0.022241598,-0.08733419,0.0057737553,-0.01630168,0.12838317,-0.06929393,-0.17643636,-0.04731401,0.15279692,-0.049503334,-0.058219995,-0.17526887,0.18963829,0.060595658,0.19301006,0.110122845,-0.09693268,-0.1829708,0.1487132,0.07107239,-0.15874392,0.06320791,0.054173842,-0.06884459,0.09206337,-0.12772524,-0.09755515,-0.1597189,-0.107500896,0.14613885,-0.14729169,0.1323331,-0.053407177
DRUG_ATC_C5,-0.03898051,-0.17837322,0.021636115,0.16062799,-0.12036789,-0.10261867,-0.04922893,-0.06897684,-0.16254209,-0.050980754,0.07021321,-0.121288255,-0.11560893,-0.13845763,-0.12831502,0.06876168,0.00860106,-0.10455506,-0.082057156,0.007458509,-0.19643201,0.14085284,0.038494807,-0.16280706,-0.17163043,0.03390956,-0.042764712,-0.10358083,-0.05880254,-0.15072933,0.1547172,-0.1687135,-0.054636747,0.024123875,0.06368886,0.12513053,0.17288847,0.108576044,0.07003811,-0.09694192,0.08702627,-0.22256199,-0.0340773,-0.03688536,0.10899969,-0.061578456,0.13066119,-0.15429854,-0.16800404,0.079664245,-0.07684981,-0.0702567,-0.15356705,0.08082855,0.037862107,0.08567092,0.03425737,0.012216548,-0.024342725,0.05581758,0.14509654,-0.062120963,-0.13380824,-0.0815724,-0.05072531,-0.036926355,0.077081,0.10917504,-0.08612607,0.09770801,0.039299678,0.08097321,0.042251546,-0.04312074,-0.013391764,-0.0678491,-0.05388703,-0.18512526,0.0055421996,0.1283954,-0.04931955,0.17971936,-0.08968602,0.09927338,-0.123641424,0.04596724,-0.023795215,-0.12002973,-0.12777287,0.08055692,-0.16072056,0.10872158,-0.090576686,-0.15884061,-0.17380072,0.06385442,-0.11037216,-0.21510088,-0.09783669,0.07190487
DRUG_ATC_C2,0.12802711,-0.15759754,-0.03609394,0.20678145,0.13754661,-0.08093499,-0.28071058,-0.06321237,-0.26000273,0.2650203,0.062097903,0.008122218,-0.06679984,-0.25494277,-0.02278865,-0.07022992,-0.1059628,-0.074899435,0.01549487,0.04349699,0.06568981,-0.12854385,0.18957764,-0.0075323554,-0.103740446,0.060712148,-0.18449233,-0.19275288,-0.20363402,-0.1254354,0.26001406,-0.21143182,-0.04253804,-0.0486123,-0.122192934,0.046354547,-0.16703379,0.2688486,0.13544433,-0.08434757,0.11376681,-0.16416542,-0.08410339,-0.042690463,0.23128286,-0.013468442,0.10222138,-0.028800115,-0.008901614,0.04222244,-0.03721567,-0.21177916,-0.018476969,0.19276649,0.017136535,0.22301744,0.017451048,0.06755261,-0.2007614,-0.15385868,-0.098432645,-0.20538591,-0.17937528,-0.13817987,0.016844861,0.058778208,-0.23956169,-0.04922432,-0.053636443,-0.059227698,-0.07306342,0.09897669,-0.09271444,0.11089288,0.21715179,-0.0494983,0.05131395,-0.11089685,-0.22461511,-0.035655875,0.16930029,0.03706668,0.16495478,0.07270652,-0.09659453,-0.009797425,0.038468007,-0.25771934,0.050200026,-0.12608859,-0.13630693,0.055740017,0.12869751,0.12019424,0.084079646,0.015591655,-0.19261149,-0.027086765,-0.06431122,0.045833092
DRUG_PATHWAY,0.09455285,-0.12325072,-0.2207792,0.13337341,-0.035225213,0.16309373,-0.29389665,0.15669672,-0.12981515,-0.15012884,-0.17428601,-0.16613734,-0.2982974,0.122337595,-0.12500405,-0.23095009,0.039817553,-0.06644663,-0.16214424,0.0086088255,-0.018196685,-0.04501592,0.05885051,-0.22827935,0.14679568,-0.18952808,-0.3329518,-0.24447913,-0.21737246,-0.28771415,0.17613007,-0.20139226,-0.24360438,0.32349047,0.049011365,-0.00718801,-0.13814418,-0.15935366,0.060934756,-0.08827304,-0.003111256,-0.06397659,0.019025909,0.27867004,0.08238005,-0.07251844,-0.018931817,0.051476948,-0.11943507,0.042564165,0.1623795,-0.28722975,0.13809069,0.10605002,-0.017379157,0.07054789,-0.08142129,-0.2288108,-0.3073847,0.10617314,0.0784031,0.083177045,0.17205286,-0.10711447,0.21433453,-0.2403645,0.13778321,0.14138837,0.23890813,-0.049270492,0.18490432,0.013428409,0.20549615,-0.095781416,0.11834503,-0.14668123,0.12952508,0.2081937,-0.031948425,-0.15602751,0.014732538,0.03338423,0.15298562,0.1894864,-0.06568127,-0.044457614,0.16189186,-0.10868118,-0.32560366,-0.03468792,-0.22114243,-0.15967919,0.100874096,-0.025868164,0.1604148,-0.21211734,0.078544036,-0.12635851,0.06610604,0.13924217
DRUG_ATC_C3,-0.07320434,-0.102124795,0.025442103,-0.10035523,0.033054538,0.00026913875,-0.23552044,0.047107924,-0.027418273,0.21357201,-0.17569749,-0.20274916,0.120833196,-0.11001349,-0.22282696,-0.11754256,0.12638493,0.0013052084,-0.06435404,-0.075671524,-0.10475594,0.12953834,-0.06271171,-0.096246876,-0.28180838,0.08139629,-0.2659846,-0.08979679,-0.1567309,0.07004003,0.17704938,-0.22076604,-0.24938114,-0.12276974,-0.12674701,-0.052727748,0.21959822,0.18521272,-0.09045365,-0.11639636,0.17383324,-0.056620687,0.21907412,-0.040423553,0.15983291,-0.15343215,0.10635604,-0.22112383,-0.13611001,0.19207,0.031624027,-0.03942355,-0.06432664,0.24769355,-0.12489737,0.24203162,-0.16249506,-0.04479513,-0.22447397,-0.12999977,0.0826182,0.0098773595,0.09040483,-0.27537107,0.06418386,0.18841241,-0.2199704,0.1533916,-0.17577146,-0.00469053,-0.09236846,0.13344853,-0.19470087,-0.17425914,0.18365756,0.07511186,-0.14802082,-0.069810435,-0.18217811,-0.08298359,0.027517734,0.24039087,-0.012787154,0.07174536,0.08419264,0.093203366,0.10699519,-0.2402539,-0.16931146,-0.006897291,-0.15373439,-0.14703862,-0.15290591,-0.15200844,-0.10740209,-0.063292675,0.033955716,-0.16235608,-0.12965271,-0.118427604
TYPE,-0.04769947,0.033134665,0.10303819,0.12853009,-0.113031365,-0.18260737,-0.14147529,-0.13092412,-0.013762,-0.12919433,-0.025134182,0.012527172,-0.023503697,-0.3434019,-0.04521907,-0.25225294,-0.11880938,0.1974485,0.12539832,0.10073544,-0.20072435,0.1742602,0.13845271,-0.37271732,-0.24078305,-0.10027769,0.11222525,-0.2893187,0.039809555,0.17503026,-0.06484473,-0.17847534,-0.026714033,-0.17446585,0.121393114,0.30562663,-0.0017748313,-0.2353914,-0.05825708,0.09068375,-0.1077123,-0.3685995,-0.17539667,0.23048894,0.04931396,0.012570112,0.019591125,-0.315978,0.14742102,-0.07737053,0.33247462,0.032895114,-0.12228256,0.30133688,0.18637614,0.20277165,-0.24350412,-0.056129348,-0.028756766,-0.24427576,0.36312366,-0.035963647,-0.17161757,0.043642886,0.14199086,0.091689244,-0.11471641,-0.18011726,0.050779097,-0.028654505,0.19543593,0.13889153,0.04845427,0.07606094,0.13595751,0.20619822,-0.29978126,-0.338405,0.06252707,-0.26482967,0.14968728,-0.29667434,-0.21696004,0.082965024,-0.0765989,0.05769974,0.101936825,0.22633924,0.15279454,0.08570558,0.21570094,-0.12651758,0.015657715,-0.16569813,-0.030821854,0.20224488,-0.032209862,-0.05025298,0.14388052,0.08107635
PATHWAY_CATEGORY,0.07178913,-0.029550724,0.08703488,-0.06642078,-0.09901,-0.014338483,0.25612405,-0.1364366,-0.15823272,0.06060498,0.15273668,-0.055960584,-0.025670253,-0.087771595,0.08352559,-0.10815238,0.2582261,0.16367075,0.02510746,0.16420215,-0.29159787,0.15015993,-0.13730416,0.30481946,-0.08731311,0.19676068,0.17773847,0.23561388,0.026925437,0.07721306,0.16481301,0.004895185,0.20255633,-0.1272336,0.1639239,-0.2216971,0.114772476,0.065900706,0.031049496,-0.03437686,0.2115242,-0.06542311,0.03621165,-0.09935639,0.017197235,-0.13331112,0.038722,0.0018321663,0.08615997,0.07689556,-0.1083878,0.19374989,0.016125618,-0.06276875,-0.124384776,-0.14945313,-0.07452147,0.21323334,0.24445783,0.04423853,-0.26803073,-0.06353091,-0.08404096,0.044356417,-0.28996244,0.2677918,-0.34492093,-0.1255347,-0.047870412,0.19723468,-0.09200569,0.060014945,-0.2884125,0.10019504,-0.048948176,0.27472603,-0.007810295,0.005791779,-0.08334509,0.10928104,0.0780673,-0.11305781,-0.017072793,0.13250102,-0.19857755,-0.12338608,-0.06317296,0.093674354,-0.009357851,-0.027806697,0.30361918,0.23777539,-0.19691083,0.17968915,-0.01937243,0.09528112,0.10973559,0.09812769,-0.03300853,-0.14838134
DRUG_ATC_C4,0.031701338,-0.21773541,0.010024369,0.10590709,0.14173587,-0.11670554,-0.20113163,-0.12637109,-0.2574542,0.028835988,-0.1295356,-0.17578568,-0.08359887,-0.14746474,-0.112489395,-0.12654707,-0.0064921333,-0.08953361,-0.1843655,0.084624305,-0.14952934,-0.038104236,-0.03819433,0.042007655,-0.20210586,-0.1609791,-0.11534361,0.15448552,0.051382978,-0.059733868,0.03981295,0.03726871,-0.15513189,-0.09953816,-0.007711882,0.17083335,-0.13567156,0.06348391,-0.10229039,-0.19762802,0.23377448,-0.05961588,-0.021866087,0.10111873,0.09681987,0.19454956,-0.05859498,-0.14926872,-0.10553456,0.12175178,0.0060414798,-0.19389251,-0.083184406,-0.022952361,-0.011169284,0.184473,0.00479479,0.17314914,-0.10792012,-0.11739881,-0.031749282,0.09383031,0.08451487,-0.16672604,-0.10481358,-0.057948157,-0.14621638,0.101091385,-0.1921272,0.16673726,-0.13540508,-0.08914848,0.05549798,0.058319885,0.19558087,-0.048293658,-0.08707478,-0.0875126,-0.15043214,-0.08253221,0.08144808,0.081750825,0.10971262,0.21763407,-0.14857092,-0.10311471,0.2258273,-0.2063489,-0.06557557,0.00061813404,-0.15755297,0.16883351,0.016286789,0.020873798,-0.014404526,-0.05004249,-0.20848262,-0.18211253,-0.12798968,-0.07059589
