,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
DRUG_CATEGORY,-0.05354257,0.014057844,-0.0829623,0.06841736,0.08004098,0.052145656,-0.0647636,0.034254525,-0.044327196,-0.046991426,-0.044701543,-0.0057312525,-0.07046374,-0.09310126,-0.12299189,-0.034868047,0.10340617,0.06566998,-0.10827108,-0.039076295,0.10232332,-0.0696789,-0.025834588,0.11508238,-0.08394365,0.061087452,0.024517057,-0.08444959,-0.078048095,-0.08757028,0.09036258,0.116371915,0.09863611,0.061828997,0.07149449,0.059161913,0.10365802,-0.06465299,0.07131509,-0.013769021,-0.0783933,-0.08487597,-0.014447144,0.08323755,0.036511377,0.0017961103,-0.064647235,-0.09768385,-0.034417853,-0.09957493,-0.019992262,-0.066141196,0.10346786,-0.049777668,0.023651833,0.093487315,0.09214149,0.07942515,0.11498733,0.0702459,-0.08509742,-0.06655488,-0.084756196,-0.11729353,0.051063206,0.08503061,-0.10162974,0.07551874,0.0472233,-0.0990975,-0.04708938,-0.0107890535,0.06431239,-0.088138804,-0.006860361,0.029564265,-0.06384389,0.05159084,0.04239463,-0.026871957,0.065652095,0.074302055,-0.08083958,-0.07824199,0.038027953,-0.02426055,0.088773556,0.11117139,0.0023490733,0.044828404,-0.016243823,0.05031552,0.092757955,-0.09274048,0.01277514,-0.08651992,-0.06178876,-0.08486847,-0.017428268,-0.058760438,0.100520186,0.04169491,-0.08211053,-0.100834,-0.095501564,-0.056209814,-0.025350157,-0.08977108,-0.05549716,0.049281355,0.08698413,0.0895185,0.041015793,0.09792084,0.0150315445,0.10666783,0.03292061,0.08399827,0.07311736,0.071451634,-0.05225909,-0.08261909,0.08654063,0.026653014,-0.088586986,-0.058370344,0.11153572,-0.08624096,0.025900103,0.042731535,0.08373249,0.09544403,-0.070703894,-0.040283408,-0.016745219,-0.021864189,-0.0839131,0.061377887,0.08702514,-0.114855185,-0.07359265,-0.09035196,0.07402623,-0.038173415,-0.113909274,0.049463633,0.014207019,-0.07895087,0.07077753,0.11370061,0.09619324,0.08483886,-0.032282192,-0.01885107,0.09817001,-0.106276006,0.03740435,-0.056888048,-0.10967461,-0.012006604,0.107522786,-0.09024157,0.1013102,0.026774554,-0.05402239,-0.03478131,0.013453481,-0.07107266,-0.08193551,0.10347146,0.015572246,-0.087772526,0.004422482,-0.07598645,-0.10693718,-0.08025987,-0.07998943,-0.13406223,-0.061051495,-0.0826707,-0.04913705,0.08764484,0.06819825,-0.012041521,-0.097771704,-0.02182107,-0.012216922,0.10084145,-0.05649443,0.03801521,0.071058616,0.07932668,-0.017820291,0.09785833,-0.11661083,0.073760316,-0.06589633,-0.01776325,-0.069123015,0.08336025
PATHWAY_ENZYME,-0.085758634,-0.0330878,0.09274918,0.09739184,0.092914335,0.056775086,-0.058355484,-0.03771867,-0.011413939,-0.071759105,-0.0044191973,0.090243876,-0.032666933,-0.02499675,-0.03384327,-0.111496754,0.05290619,-0.10455843,0.04578002,-0.04976804,0.050092947,0.11548045,-0.071912624,-0.05704965,-0.051825754,0.09593629,0.10608609,-0.03368269,0.11820847,-0.054539572,-0.06469743,0.032806233,0.029745208,0.08349089,-0.06337602,-0.06644497,0.034881383,0.09205788,0.029276578,-0.08411006,-0.07286646,-0.08623687,-0.025494687,0.03188892,0.03981134,-0.09899547,0.0568411,0.07564713,0.08435358,0.07358557,-0.07293445,-0.035377316,-0.055222247,-0.10730802,-0.031575587,-0.078623176,-0.1008956,0.021038964,-0.08330882,-0.06258096,-0.07112156,-0.02918192,0.08721215,0.04242478,-0.10673447,-0.0027531916,0.108814195,0.101620175,-0.06300519,0.04062593,-0.046036184,-0.104931206,-0.098867476,-0.10031295,-0.09797694,0.12200674,-0.0041611474,0.083232686,-0.026263122,0.017985363,0.028801473,0.029080877,0.07363588,-0.10260924,0.10103768,0.041023046,0.07803474,-0.059326682,-0.09269773,-0.07580094,0.12058046,0.08683319,0.05607052,0.080632746,0.044489577,0.10321921,-0.044211295,-0.08747497,-0.0065418296,0.059441324,0.06288016,-0.09593826,-0.10513913,-0.08567125,-0.07128924,0.08915437,-0.06817793,-0.067029774,-0.0961458,0.034669735,-0.09407163,-0.07426495,-0.042883653,-0.01805111,-0.12831715,-0.07307788,0.0074071838,-0.013297275,-0.09376192,-0.06453923,-0.09929838,0.10269232,0.06417057,0.105900005,-0.07508669,-0.06628468,-0.062834345,0.101629704,0.085012116,0.042974014,-0.08954816,0.07283784,-0.09452748,-0.074314915,-0.09378389,0.11285834,0.03590191,-0.053829983,0.08903982,0.04577453,0.07260618,-0.03438805,0.09921871,0.05578668,0.029111778,0.04267914,-0.024201266,0.09803158,0.09138585,-0.050503574,-0.0381221,-0.056370858,-0.10223971,0.089325085,-0.022069853,-0.037892137,0.0933966,0.06403949,-0.098419316,0.12086646,0.04174976,0.083913304,0.060148705,0.12507619,0.07115319,0.100019656,0.021132782,-0.10543263,0.028520232,0.08688869,-0.057218976,-0.06797843,0.016151482,-0.02181403,0.06302148,0.07258448,0.08144251,0.03524202,0.054714844,0.06497398,-0.09090265,-0.07971104,-0.0077262176,0.08644464,-0.08423425,-0.06123056,0.042939845,-0.07801986,-0.005320533,0.057908405,-0.12220188,0.07277022,0.10032417,-0.041563988,-0.028988512,0.07454483,-0.0625526,0.12810183,0.05764538,-0.027272224
DRUG_TARGET,0.01642736,0.081602946,0.09300101,-0.024501415,0.04935099,0.068473205,-0.1345289,-0.014839865,-0.10295767,-0.07052627,0.09226798,0.05206483,0.108248524,-0.11126697,-0.09830091,0.032790367,0.039234072,-0.045779712,-0.06259338,0.022448417,-0.05267542,0.06734325,-0.10863254,0.13740897,-0.022077454,0.094055735,0.06529589,-0.0547585,0.06249614,0.029902179,-0.06794583,0.024148172,0.03644367,0.0544576,0.054801587,-0.08066842,0.12483299,-0.0007503365,-0.07834605,0.06063811,-0.018188123,0.011840686,-0.060147595,0.018634083,-0.033837125,-0.033927344,-0.048335005,0.050636984,0.08196473,-0.045760695,-0.08644104,-0.03694754,-0.0068738777,-0.06747824,-0.01696923,0.07301795,0.072918765,-0.056042597,0.08046937,0.09273852,0.065529875,0.013523563,0.04073573,0.0013924164,0.0845612,-0.044800024,0.05109446,0.06286439,0.045616098,-0.01816989,-0.07811672,-0.033946186,0.07068696,0.0028787921,-0.05126521,-0.06094422,-0.14156695,0.027355907,-0.057858836,-0.060972575,0.08496218,-0.059152316,-0.034326468,-0.105981246,-0.054947235,-0.081296936,-0.059098084,0.07146771,0.044641104,-0.08704268,-0.03761687,-0.02756449,-0.052310593,0.03880264,0.06414902,-0.02314754,-0.054953933,-0.08902218,0.0028129066,-0.07581375,-0.01925159,-0.0021983131,-0.10117671,-0.02287195,-0.084997214,0.09641548,0.003970382,-0.068345614,-0.006458619,0.06277644,0.08521546,0.07823149,-0.11285513,0.10244547,-0.080560364,0.009804124,0.08175324,0.098978855,0.053461064,0.07406912,-0.035432372,0.061137162,0.0510747,0.10725947,-0.099243656,-0.0404533,0.082002066,-0.048458144,-0.084524855,0.12115929,-0.061654676,-0.0140725365,-0.05177103,-0.09089968,0.026847512,-0.076821744,0.046527788,0.021976497,0.0921482,0.067918874,-0.048503082,0.0051501784,-0.056217205,0.08310402,-0.007525035,0.043849926,0.078354046,-0.016308077,0.07581035,-0.00636478,0.029509483,0.024054773,-0.063599356,-0.008985633,0.11257524,-0.04881589,0.060864978,0.03300357,-0.04508656,0.009137904,0.103830755,0.031960793,-0.0326155,0.026146699,0.1060575,-0.043930188,-0.02641734,-0.11913042,-0.081922874,-0.05746399,0.048315134,-0.10369706,0.04879994,0.03456454,-0.10210354,0.03510918,0.038199574,-0.09055239,-0.09292391,-0.0009931013,-0.08760163,-0.06044908,-0.1188897,-0.0065234,-0.109274864,-0.10192771,0.106418684,-0.04497296,0.035734344,-0.0038297107,-0.035152238,0.06176343,0.08982526,0.019030984,-0.07877609,-0.041951243,0.05949124,0.018752888,-0.00814156,-0.0625309
DRUG_ATC_C5,0.029009601,0.0107547995,0.062904105,0.08136548,0.020784546,0.076494046,0.036799747,-0.09010589,0.05342059,0.025048524,0.088163495,0.08189256,-0.10670973,0.009655864,-0.09755743,-0.07674534,-0.03891279,0.042963926,-0.11151816,-0.024156805,-0.07218134,-0.09853848,0.017732298,0.044963934,-0.020520058,0.028062778,-0.03442489,-0.079618186,-0.0077570393,-0.023488795,0.09056762,-0.028040688,0.065501876,-0.050633624,-0.012983579,-0.008873601,0.1116728,-0.08349997,-0.08160869,-0.085870035,-0.06686672,-0.075473405,-0.017808758,0.0625346,-0.0243701,-0.051665857,0.066530615,-0.08831582,-0.031138666,-0.13123499,-0.062283583,-0.1234153,0.009385271,-0.046365894,-0.015330043,0.027720982,0.08078414,0.06059681,-0.01685019,-0.019995164,-0.034237843,-0.10722896,-0.080732554,-0.11528662,-0.020919856,0.020813834,0.012269359,-0.07735756,-0.04332736,0.032194115,-0.018593268,0.07445556,-0.103621855,-0.017998707,0.047463346,0.01990861,-0.04214424,0.10792837,-0.033850174,0.015602788,0.11942165,0.09165959,-0.109928325,-0.009369911,0.08925958,-0.06464182,-0.019356254,0.011117215,0.06767418,-0.10236791,-0.0992527,0.07266856,0.023235116,0.0029510276,0.07075227,0.004278541,-0.0073869294,0.02232556,0.09571674,0.0029233622,0.04532996,-0.04131475,0.04202071,-0.06812619,-0.015595044,0.02739355,-0.050134093,-0.09962346,-0.08200798,-0.06530691,0.10964677,-0.024838103,0.014683707,-0.023862012,0.016603574,0.10621423,-0.10065491,0.112417825,0.034734413,0.083855346,-0.10672667,-0.018941063,0.031963132,-0.06480754,-0.021478653,-0.008556978,0.04575902,0.0011123843,-0.07820279,0.04437308,0.03968389,-0.031128801,0.0015479827,0.04460301,-0.09114655,0.00872226,-0.09696335,0.071810625,0.10562125,-0.0813385,-0.04805071,-0.08757184,-0.031068817,0.0008105296,-0.02418418,0.00059011864,0.050448973,0.06910681,0.1518494,0.109301485,0.08356698,-0.07446499,-0.036943983,0.026107043,0.059225608,-0.18109584,-0.023488255,-0.07223882,-0.11076568,-0.07990912,0.10160137,-0.10197241,-0.0071379226,0.015526897,0.017359277,-0.04952777,0.04341034,-0.04544499,0.065686725,-0.0069330744,-0.07962138,-0.11861043,-0.090326525,-0.023381988,-0.14490569,-0.102434196,-0.025989188,-0.09187199,0.013538085,-0.057851084,0.06649747,-0.059766073,-0.04539446,0.04199539,-0.13029566,-0.07551736,0.00933406,0.060453556,0.05522018,0.061099503,0.114412844,0.019948503,-0.037702803,0.09409838,0.05549558,0.08694775,0.06444615,-0.07808584,0.05141017,0.07598159
DRUG_ATC_C2,-0.063074164,0.05096908,-0.06554677,0.17243245,-0.08147803,0.13142304,0.032184903,0.0015211045,-0.075750604,0.09070794,-0.08483886,0.018352926,-0.14444427,-0.019946137,-0.12764263,-0.16130643,-0.019901726,0.02693646,-0.10508841,0.015156494,0.024554122,-0.109268345,-0.10579918,0.16435146,-0.04830456,0.12831552,-0.12469363,-0.14920552,-0.10426686,-0.07841948,-0.08827075,0.11731049,0.011270215,0.057727866,0.09496556,-0.060127817,0.16991204,0.041495737,0.07256959,-0.13710804,-0.04603661,-0.12447145,-0.020728497,0.0070251175,-0.041930985,0.044521067,-0.10197534,-0.01043469,0.051485937,-0.08369776,-0.117012136,-0.011270379,0.114163026,-0.071238406,0.052022364,0.14015833,0.022275992,0.16288555,0.056855775,0.094859295,-0.026793892,0.036420118,0.057977226,-0.12627153,0.054040115,-0.010862262,0.037922624,-0.090862036,0.13136485,-0.044132985,0.040173482,-0.08074344,-0.14037684,0.07752721,0.044700764,0.116398916,0.02370901,-0.001618322,0.002133107,-0.011445735,-0.03443807,0.0057505392,0.030209946,-0.058168538,-0.074151196,-0.088329606,0.067052536,-0.075231075,-0.044978417,-0.08723891,0.04622419,0.11950951,0.086124435,0.0036459812,-0.11863807,0.10052971,0.021316994,-0.1565259,0.11411262,-0.09332148,-0.058059,-0.012546861,0.04985827,-0.04906942,-0.15344882,0.058788896,0.05784064,-0.052215293,-0.12399502,-0.09822932,-0.008341817,0.022922866,-0.109583676,0.19501498,0.11079414,-0.00106359,-0.08632919,0.15013675,-0.04389582,0.053750608,0.09204247,-0.032083075,0.2636182,-0.032288358,-0.10776929,0.047682375,0.09355788,-0.06944705,0.016778937,0.01629844,-0.032327387,-0.019024944,-0.019825496,0.06656091,0.010039026,-0.056948926,-0.16592419,0.014583466,0.031024905,-0.14526716,-0.0528866,-0.057410184,-0.08743495,0.0112826405,0.04977182,0.0837014,0.1451283,-0.0808345,0.13763596,-0.036002267,0.17020541,0.027027931,-0.0025614318,0.09725375,0.15773147,-0.027176986,0.009868999,-0.0878074,-0.11276077,-0.06656024,0.022597758,-0.1410208,0.07252787,0.004628297,0.14586912,0.03015274,-0.063450694,-0.027884481,0.10494205,-0.023929821,-0.05549173,-0.03328097,-0.018814038,-0.0052351467,-0.11746418,-0.009965081,0.077563785,0.008672355,-0.16997562,-0.01023146,0.02211751,0.036418073,-0.030749619,0.010681052,-0.058387544,-0.023290789,0.053817805,-0.033130065,0.1046428,0.041032296,0.25855425,0.016847368,-0.105651006,-0.009021831,-0.027569914,-0.018664522,0.0056291926,-0.066114895,-0.0029763256,0.06932501
DRUG_PATHWAY,0.056918684,-0.017805556,0.09750995,-0.09968518,0.07229705,-0.040521655,-0.15907966,-0.06766404,-0.07376043,0.04730144,0.0001524369,-0.10292706,0.04166002,0.10692428,0.024184879,0.17752893,0.014175404,0.10899205,-0.17502883,-0.019666107,-0.021963159,-0.0981615,-0.097640716,0.18519832,-0.012577327,0.054040022,-0.15013862,0.023081448,-0.098734066,0.02071654,-0.04437324,0.025574079,-0.06283799,0.019053197,0.12570597,0.07893361,0.11095006,-0.10594093,-0.07076893,-0.031963963,-0.02480704,-0.07356692,-0.09018211,0.07631709,0.029192831,0.06985045,0.033104897,-0.20269059,0.07557851,0.008688337,0.059853487,0.043736834,0.2544132,0.016769988,0.092347495,0.17959705,0.26951712,0.085077964,0.19792101,-0.0027674376,0.018363332,0.12920387,0.083246134,-0.119897254,0.026490621,0.12550622,-0.06921897,-0.087669306,0.11046735,0.050252758,0.05380507,0.11240536,0.13398096,0.11381356,0.10693326,-0.12070933,-0.1512141,0.0139602255,0.06422153,0.0069792527,-0.043432478,0.069242515,-0.12471524,0.1518782,0.024559954,-0.15039271,-0.18735029,0.05244694,-0.028989263,0.069434136,-0.17016442,-0.16455953,-0.06801703,-0.13880987,0.09161463,-0.0743826,0.010981546,-0.06530933,0.05634779,-0.15689518,0.06396578,0.14611208,0.0056413165,0.1197504,0.10918865,-0.028101234,0.17366308,0.02872035,0.021190386,0.048820015,0.008024364,0.13168967,-0.06291676,0.036568526,-0.0282337,0.030718181,0.04370471,0.111683525,0.044542532,0.1238726,0.02185546,-0.035900317,0.010297114,-0.016670968,-0.027470065,-0.024297705,0.09515536,-0.22536623,-0.121263705,0.035406735,-0.08450755,0.061831873,0.12573998,0.04342572,0.070953414,-0.078365706,-0.13656503,0.083645105,-0.070082165,0.058757674,-0.08365727,-0.04034282,-0.18357028,0.06381648,-0.036574766,0.0009966041,-0.012810928,-0.048584417,0.0699483,0.008049586,0.05174997,-0.004690929,-0.05965766,-0.12237806,0.17618003,0.033939518,-0.08863042,-0.01247485,0.13409452,-0.13816945,0.1013111,-0.10483807,-0.18327905,-0.13065532,0.0028765036,-0.074236184,-0.12403448,0.09046635,-0.03968334,-0.12891902,0.08732698,0.007166142,-0.052220672,0.00031518843,-0.07818726,-0.15211007,-0.04755,-0.14059666,-0.12722273,-0.14568673,0.017092418,-0.013921232,-0.04576427,-0.06379563,-0.05986037,-0.013437262,-0.10235746,-0.02828665,0.07353755,-0.057016265,0.2798438,0.06887583,-0.028535258,0.06572818,-0.0062757223,0.05319301,0.06310887,-0.013245739,-0.11641857,0.024972916
DRUG_ATC_C3,0.08021911,0.084963694,0.10217598,-0.0133009665,-0.00013324627,0.040693738,-0.020954717,-0.10481318,-0.0031128195,-0.02736912,0.014252397,0.10753109,-0.05621241,-0.13966677,-0.051802363,-0.10954391,0.084736295,0.11844831,-0.22486082,0.084894314,-0.035976715,-0.120803386,0.0030050778,0.08796434,0.022723582,0.07527139,-0.03429083,-0.13320787,0.03428275,0.039216,-0.05304254,0.19079952,-0.011581789,0.024567457,0.09248477,-0.07637123,0.041911136,-0.051469665,0.07354549,-0.049864322,0.059233047,-0.10846907,-0.09552265,-0.015674189,-0.006242965,-0.008081149,0.104203306,-0.09137002,0.112510905,-0.16278675,-0.06873858,0.041728728,-0.0059032477,-0.08031155,0.10483407,-0.034481034,0.09724914,0.17784917,0.0444956,-0.033180412,-0.09120882,-0.12617803,0.08427831,-0.14654091,-0.02745069,0.06964931,-0.03429925,-0.0937878,-0.114779525,-0.109980576,-0.052795283,-0.09537446,0.08671737,-0.017039629,0.05440764,0.07681351,0.020906074,-0.05748789,-0.03703084,0.10067349,0.04549617,0.068621114,-0.12638856,0.0042281696,0.08813682,-0.118465796,-0.011211697,0.02525875,0.10566801,-0.02297446,-0.06642759,-0.049159255,0.001288652,0.013222284,0.057054956,0.046141773,-0.065278925,0.007273838,0.1404299,-0.09900352,-0.10531736,-0.03282685,-0.04818979,-0.15243262,-0.06985251,0.10951908,0.062957786,-0.039849762,-0.06437561,-0.042797517,0.14165218,0.17945047,-0.08535075,0.08334753,0.110779606,0.016109338,-0.12852423,0.10849736,-0.09011084,0.03780554,0.12949641,-0.11940085,0.13591239,0.012044468,-0.08331152,-0.06631714,0.1660794,-0.049401537,-0.09722571,-0.019704325,-0.023745539,-0.094289616,-0.10601017,-0.06682513,-0.1202909,-0.04869081,-0.06936815,0.19179672,0.015167809,-0.12967706,-0.030192249,0.038341917,-0.04919056,-0.113178566,0.07958,0.10004763,0.10127784,0.08316324,0.05981161,0.107777275,-0.007202721,0.053853665,0.026215624,0.002928581,0.047492858,-0.087365046,0.096906364,-0.089525595,-0.13411741,0.047433224,0.0083592385,0.0056931125,0.13759336,-0.05079467,0.082307085,0.07432728,0.082027204,-0.10828282,-0.10946113,-0.00063895184,-0.13167693,-0.083650455,0.11982401,0.0024989948,-0.18593937,-0.2442522,-0.10570797,-0.08802341,-0.11274908,-0.0033826167,-0.056273356,-0.065036386,-0.06685078,-0.0829104,-0.059167385,-0.08678118,-0.017066207,0.06613352,-0.06538025,-0.035972275,0.115379356,-0.07387359,-0.09964095,0.07520383,0.06434282,0.057050902,0.019175708,-0.08729043,-0.032626208,-0.08586715
TYPE,0.012626697,0.023418123,0.06327257,-0.1388416,0.14769132,0.1831213,-0.24311052,0.13903509,0.0069789006,-0.1328535,0.15966263,0.13153037,-0.09039444,-0.01098111,-0.2442037,-0.0986159,-0.08989905,0.21072052,-0.06527,-0.013530645,-0.12674692,-0.052664563,-0.07846761,0.03763911,-0.0044672736,0.18871346,0.12974618,-0.18476582,0.059822675,-0.12997533,0.07032222,-0.018142302,0.01787682,-0.16997693,0.13455209,-0.13698356,-0.04978801,0.018239932,0.16746859,-0.1316138,-0.06775775,0.009255866,-0.05524897,0.15248673,0.011968591,-0.0766336,0.16030334,-0.13409077,0.09265628,-0.061281838,-0.2716479,-0.023163307,0.16647509,-0.21584117,-0.13807152,0.22417158,0.16996183,-0.12588908,0.09016811,-0.13696168,-0.06892107,0.024845086,-0.13575631,-0.26985678,-0.124913596,-0.058490563,-0.046316933,-0.08170489,-0.11601808,-0.16561799,-0.2893166,0.060634438,-0.078309454,0.12151875,-0.050037477,0.01789986,0.030094719,0.046568718,0.21666868,-0.10709604,-0.0037201059,0.039260715,0.001453708,-0.28346643,0.1357976,-0.042576913,-0.15328853,0.21058762,0.14516357,-0.2419786,-0.15254153,-0.038376607,0.15253547,-0.1864654,0.014429807,0.08191004,0.12645686,0.10026666,-0.113845885,-0.18361776,-0.12867464,-0.104621775,0.1426954,0.011412176,-0.23601611,0.08072539,-0.10200135,-0.17785858,0.113016024,0.08928528,-0.10943343,-0.13787131,-0.12056051,-0.12927507,0.11616731,0.17712854,0.040680222,-0.0059016654,0.2054612,-0.06129718,0.0637893,-0.17291366,-0.1098492,-0.05420208,-0.15672976,0.08015232,-0.07547624,-0.07778086,0.016219126,0.29638574,-0.09785195,-0.07918756,-0.19265263,-0.056470916,-0.13248768,-0.05293349,-0.08498111,-0.034912195,-0.0186766,0.119482175,0.11364818,-0.14434671,0.037904907,-0.07066141,-0.2609729,-0.028527632,-0.10015923,0.057949457,0.016384201,-0.11055967,0.16973165,0.08465714,0.00089247833,0.12186797,0.3286415,0.096244454,0.10196705,0.0681358,0.03627857,-0.037346214,0.07359295,-0.16415201,0.2487275,-0.114338055,0.16679099,-0.032529052,-0.090662055,-0.0036842835,0.032410834,0.08550663,-0.09875841,0.09817409,-0.109616935,0.08703202,0.019877085,-0.08933867,0.13225228,-0.1547273,-0.13501883,-0.048988625,0.14522304,-0.1121741,0.11785212,-0.09239101,-0.24505158,0.0064750644,-0.13488163,-0.122116745,-0.20775089,-0.13783984,0.021383591,0.07918476,-0.04932441,-0.10231365,-0.24068055,0.2060055,-0.09776093,0.15980789,0.10379294,-0.098168746
PATHWAY_CATEGORY,-0.0012590357,0.08654444,0.052038,0.106990196,0.22992228,-0.07854144,0.032518797,0.058399886,0.090427406,0.09720813,-0.113082334,-0.03168701,-0.072211355,-0.07168705,-0.055570003,-0.14623377,0.20261818,-0.052517008,-0.025259245,-0.051562067,-0.050650254,0.13793574,0.09045644,-0.12531003,-0.113774724,0.16116527,-0.041133426,0.10876778,0.21778902,-0.0077928547,0.039674893,0.106227994,0.118943274,-0.01965978,0.07144307,-0.0066984217,-0.045790806,0.1586049,-0.10100854,0.10904748,-0.01751285,-0.053912133,0.1337032,0.08439026,-0.08123682,-0.13726248,-0.05724928,-0.019460835,0.10967754,0.0087346025,-0.0729528,-0.056597758,-0.028992834,-0.25789532,-0.11707693,-0.03333132,-0.12971804,-0.023143835,-0.16383903,0.025379315,-0.011789254,-0.06311262,0.16973071,-0.08889582,-0.097814485,0.052738994,0.11806636,-0.020447426,-0.055688947,0.023097284,0.07614651,-0.15955731,0.053333957,-0.010833062,-0.05651636,0.21823464,-0.090392426,0.017734645,-0.089193046,0.05596778,0.031802695,-0.097799554,-0.017404344,-0.024421856,0.12696084,0.02571917,0.053990208,-0.16219535,-0.053730495,-0.0053009554,0.09201607,0.23794365,-0.061015844,-0.046449587,0.092222564,0.023814695,0.023829546,0.025182879,-0.059256725,0.058611486,-0.08566241,-0.08322616,-0.095090665,0.036011085,-0.0726009,-0.01336312,-0.09217402,0.083841644,0.011171649,0.14023603,-0.010374861,-0.041763905,0.07324164,0.011432036,-0.095296055,-0.17872074,-0.025967818,-0.009628232,-0.028087923,-0.14635603,-0.08264103,0.14783847,0.0007712763,0.06830801,-0.09298611,-0.058793057,-0.049146023,0.08102642,0.02472987,0.16919705,-0.044468276,-0.07790781,-0.17928022,0.035565212,-0.0451964,0.04670857,0.062159274,-0.14647679,0.12832502,0.085803606,0.039570365,0.06800733,0.11600831,0.024539849,0.017378274,0.071815185,-0.121104814,0.1432989,0.036952503,0.018480215,-0.03577637,-0.14226918,0.059389427,0.16838026,-0.08910845,0.07886273,0.119534485,-0.042614587,-0.14211793,-0.04697339,-0.08863417,-0.023540262,-0.0731736,0.04434587,0.021826595,0.056386713,-0.028913679,-0.22212525,0.067858815,-0.10006877,-0.081836425,-0.055310197,0.16137803,-0.0008765472,-0.027383344,0.04003467,0.08546845,-0.042826697,0.092329316,0.09707239,-0.19518848,0.07130865,0.10444032,0.0671271,-0.025867542,-0.13288176,0.056617316,-0.0651152,-0.042148948,0.15864314,-0.043969013,-0.025443844,0.07805193,-0.059483748,0.0936634,0.10835839,-0.03477947,0.060885888,0.12296963,0.09660757
DRUG_ATC_C4,-0.0009842303,-0.0290886,0.016474225,-0.01566146,0.11098983,0.09444656,0.024486657,0.012066058,-0.054675266,0.055390805,0.003201982,0.033638455,-0.17148341,-0.013421655,-0.08443198,-0.0821507,0.096069984,0.10208159,-0.09658918,0.11086911,0.042767547,-0.021018192,0.022130143,0.12795165,-0.051209774,-0.0006000553,-0.084019974,-0.102268904,-0.10478779,0.019363038,-0.011486299,0.16186972,0.07894424,-0.09528144,-0.060372796,-0.08760845,0.15292898,0.07042436,0.13742118,0.04467911,-0.00911925,-0.08197977,-0.091781355,0.013769567,-0.024428291,0.07290532,0.06745894,0.011205537,0.1019456,0.014182784,-0.11626117,-0.051625013,0.031673867,-0.07220527,0.14338446,0.05799786,0.0001450437,0.010681621,-0.083856374,0.07836329,0.04922759,-0.07551635,-0.0149199795,-0.17913501,0.06514733,0.055563856,-0.07648014,-0.074481264,0.054906532,-0.05990099,-0.07625158,0.015298394,-0.04176508,0.04643914,0.026406975,-0.04292379,-0.11439543,0.021585843,0.02075121,0.03900799,0.0047763903,-0.009540017,-0.10975875,-0.052540127,0.011433817,-0.07267925,-0.07994588,0.09173431,-0.07410852,0.043696303,0.1245021,0.12794013,0.079729825,0.09134403,-0.08831898,0.057140164,0.020691335,-0.18712501,0.14653529,-0.16032161,-0.105197914,-0.029829882,-0.13198045,-0.1246736,0.039072983,0.06328098,-0.02421813,-0.09769634,0.023188641,0.12187476,0.11309507,0.118506104,-0.08649813,0.13845332,0.033976305,0.16954266,-0.05886866,0.057368588,-0.04517984,0.14443877,0.048603125,-0.07977276,0.031650487,-0.04259888,-0.025545033,-0.055268075,-0.015612148,0.04211424,-0.039023124,-0.004706896,0.0860029,0.1171854,0.029474765,-0.05563487,-0.10736081,-0.12176734,-0.040701725,0.06519575,0.094281256,-0.08960239,-0.06841859,-0.046828005,-0.069502264,-0.09516081,-0.034215886,0.026929028,-0.012282976,0.07173837,0.10663815,-0.064913675,-0.047301497,0.033412907,-0.09524967,-0.011191345,0.11474863,-0.0394701,0.09729673,-0.03178713,-0.0010050907,-0.06574459,0.12094893,-0.018076815,0.079712346,0.10266318,-0.01476797,-0.11613357,0.0483765,-0.071643695,-0.07065434,-0.041185167,-0.08498834,-0.024574194,0.11433708,-0.03283532,-0.14816074,-0.12064999,-0.027534518,0.103601664,-0.14079905,-0.09459215,-0.052384187,-0.0545964,-0.11123563,-0.028435966,-0.10664966,-0.03653536,-0.06283403,-0.07839915,-0.01601042,0.03951868,0.11318519,-0.085104,-0.1345911,0.021457503,0.09741181,0.06319732,-0.0028058263,-0.14152786,-0.10777271,0.09671903
