,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
DRUG_CATEGORY,0.19593832,-0.1665122,-0.0632156,-0.018935837,0.021081459,0.119485825,-0.042716336,-0.097267784,-0.13104594,0.1602632,-0.028871309,0.0052498495,0.049419135,-0.16969553,-0.17787753,-0.09292688,0.14185946,-0.14185049,-0.22084367,-0.075335264,-0.04060524,0.029305385,0.15565789,-0.18098442,-0.13531,-0.018882515,-0.13908029,0.11879905,-0.17277747,-0.05532436,0.06284853,-0.20208457,-0.1500087,-0.14538178,-0.18685967,0.13620204,0.10853976,0.14167503,0.039637316,-0.031392198,0.1603923,-0.19803776,0.08203284,0.1522177,0.10981368,0.15851133,0.10826536,-0.14446276,-0.09487846,-0.11821469,0.06763751,-0.053305157,-0.04275027,0.14010315,0.02012927,-0.025707135,-0.08099063,0.09541542,-0.1620835,-0.036410753,0.093988806,-0.12799169,-0.13644275,-0.06665413,0.13843092,0.045813702,-0.076520175,0.14153989,-0.078209504,0.11702403,-0.1355979,-0.1761901,-0.13484648,0.0011571624,-0.032111827,-0.09155509,-0.106940895,-0.1591772,-0.18675277,0.07429004,0.08415189,0.10642691,-0.03156434,0.09689186,-0.077592865,0.13657491,-0.0020264676,0.012426191,-0.17622055,-0.031563733,-0.020589981,-0.07908593,0.12634315,-0.0128816385,-0.01861391,0.09043657,-0.049340017,-0.1186792,0.06692852,0.08006131
PATHWAY_ENZYME,0.023280375,-0.07753168,-0.06215172,-0.13510871,-0.09296015,-0.05535246,0.17477247,-0.16383713,-0.08504315,0.09735936,-0.06556484,0.20373225,0.14896192,0.1034432,0.14136761,0.07809776,0.15371253,0.16140874,0.012852745,-0.034690578,-0.14315084,0.07747895,0.06345363,0.108918704,-0.14842497,0.031678997,0.15071602,0.08386682,0.16356955,0.22116214,0.033491038,0.016156841,0.114287,-0.15871058,-0.05793875,-0.14245205,0.11771485,-0.019547705,-0.13488626,0.13933119,0.17485313,-0.11405796,0.16722593,-0.07524741,-0.14725475,-0.09900165,-0.00982489,-0.08923191,0.04700294,0.13858998,0.07656331,0.14570774,-0.18572108,-0.059691347,0.08213117,-0.09187592,-0.16187015,0.1325639,0.10124146,-0.15500852,-0.1507735,0.08224574,-0.03352302,0.06045557,-0.17863578,0.16422236,-0.13564949,-0.12017112,-0.10700464,0.17147583,-0.18002984,0.113377236,-0.124556325,-0.10612603,-0.082734786,0.14450592,-0.12327446,-0.09435634,-0.07248403,0.09307169,0.111729875,0.032134235,-0.1602982,-0.039236356,-0.13361463,-0.057525378,-0.033190496,-0.03794391,0.1639451,-0.17421682,0.12932707,0.22541714,-0.12897922,0.121206954,-0.18739048,0.16147509,0.1899293,0.13630742,-0.03292229,-0.13410361
DRUG_TARGET,0.09721186,0.08117098,-0.09590429,0.09949884,0.16108593,0.13164148,0.07342461,0.028996205,0.118792474,0.04421389,-0.18154956,-0.07925813,-0.10104432,0.0449627,-0.10247045,0.13013202,0.13816734,0.16047025,-0.077477396,-0.12849471,-0.22658058,-0.039963428,0.21171042,0.052750856,0.063257605,-0.03207276,-0.14505735,-0.17096302,0.052628674,0.066115126,0.08102183,-0.07801992,-0.12732211,0.115339525,-0.11268078,-0.11583051,0.029636398,-0.16044465,0.10734647,-0.12132635,0.12368157,-0.15317881,-0.07494994,0.15172671,0.08682258,-0.10938481,0.15168165,-0.12118621,0.09087085,-0.006079724,0.19834687,-0.02954246,0.09277222,0.15069766,0.16109742,0.08236659,-0.16472363,-0.15406753,-0.12715468,-0.12156339,0.14434059,0.032090217,-0.109568566,-0.1594139,0.0019479592,-0.079744875,-0.15184656,0.020107046,-0.058041543,0.014181506,0.013966969,0.14227013,-0.053284056,-0.16582388,-0.036674798,0.16015019,-0.019632405,-0.04287218,-0.15942639,0.16258562,0.05275185,0.20446302,0.118046455,-0.10834113,-0.17036712,0.14898436,0.05651694,-0.12932639,0.060186062,0.04758075,-0.06469543,0.07730069,-0.11661281,-0.06620657,-0.15068084,-0.107924916,0.15345757,-0.13379046,0.12325503,-0.032676466
DRUG_ATC_C5,-0.042993955,-0.13575977,0.03434834,0.09878106,-0.08153301,-0.12925448,-0.014704847,-0.037423886,-0.12035594,-0.07695097,0.0738403,-0.08456638,-0.105163075,-0.0962875,-0.10941837,0.076793835,-0.018590475,-0.09428199,-0.056936897,-0.020743592,-0.15593061,0.10493466,0.0012327655,-0.13193303,-0.16261958,0.031855747,-0.020785645,-0.1118897,-0.04032661,-0.11593536,0.09987475,-0.13754179,-0.013045079,0.04655733,0.099356756,0.076212704,0.14679104,0.099543996,0.07145002,-0.071597055,0.044340607,-0.167176,-0.04461219,-0.062883474,0.09716152,-0.03996434,0.06559865,-0.115110435,-0.12492108,0.096979514,-0.07344955,-0.026360735,-0.1388725,0.06513243,0.013309056,0.11072431,0.024844415,0.008261472,0.025355157,0.045757677,0.12957215,-0.020356804,-0.09717845,-0.056967314,-0.056455348,-0.034625914,0.114291124,0.07193893,-0.09196263,0.09046923,0.0603801,0.10815743,0.082814015,-0.04154583,0.0005147626,-0.051082972,0.0039813262,-0.1435369,0.044242397,0.10510411,-0.041404527,0.118048005,-0.08997212,0.079979524,-0.11225869,0.022520216,-0.037198525,-0.08781133,-0.06675221,0.06603768,-0.15323529,0.11422193,-0.06356453,-0.15457588,-0.10479707,0.08920465,-0.07892361,-0.15937413,-0.06984455,0.0416901
DRUG_ATC_C2,0.0954255,-0.106987946,-0.022838121,0.13823116,0.16185749,-0.08158834,-0.19631426,-0.0110063115,-0.22136113,0.20301342,0.10907514,0.02742276,-0.06880855,-0.2669784,-0.037148315,-0.020622939,-0.12606588,-0.033876527,0.046245042,-0.010214434,0.08937866,-0.15094014,0.16840722,0.028699372,-0.090345584,0.033246525,-0.17221756,-0.14420126,-0.15268409,-0.090454444,0.17583062,-0.17487118,0.005358456,-0.0432266,-0.028645534,0.0005462679,-0.14894813,0.20995969,0.16188248,0.0036971075,0.09360894,-0.13839485,-0.058547396,-0.052060332,0.13166049,-0.007155856,0.08802432,0.032278974,0.006641073,0.03789344,-0.008114797,-0.15919273,0.008374079,0.17001191,0.003775201,0.22798432,-0.0374069,0.0699294,-0.1593567,-0.14414474,-0.12130233,-0.15943465,-0.1505066,-0.16068664,-0.040016577,0.08418435,-0.21239309,-0.09220822,-0.04372437,-0.042804368,-0.048277594,0.090381496,-0.07746775,0.108479775,0.21693628,-0.034181334,0.08292993,-0.074082136,-0.14013179,-0.11203939,0.16616744,-0.028262217,0.13824876,0.029921742,-0.06517264,-0.035375267,0.052254286,-0.25275603,0.07504132,-0.12152584,-0.11851238,0.0440837,0.15304631,0.10285305,0.09870916,0.0072742887,-0.13118707,0.025605043,-0.029856276,0.0016524415
DRUG_PATHWAY,0.051105313,-0.11322307,-0.22383313,0.077461205,-0.051661875,0.11618076,-0.21184674,0.13146234,-0.11771536,-0.13642474,-0.10741644,-0.14014636,-0.17049703,0.10727881,-0.037585404,-0.17705655,0.060554653,-0.08462527,-0.12260812,0.029063482,-0.019847129,-0.01275609,0.07554967,-0.1942096,0.09606414,-0.16026923,-0.25234136,-0.16403596,-0.13563976,-0.20771754,0.15256688,-0.1670094,-0.1567536,0.21367212,0.104118735,-0.023803173,-0.11679378,-0.15862742,0.005215625,-0.035621148,0.011001685,-0.078128025,0.011242226,0.24932495,0.012905644,-0.043661654,-0.05495275,0.06486105,-0.115145735,0.050118417,0.14461063,-0.18138827,0.121811956,0.07916319,0.0059189606,0.037509724,-0.10788722,-0.15890113,-0.24162824,0.092102595,0.064232305,0.10967284,0.19366312,-0.010344309,0.18223271,-0.19150542,0.13450298,0.13749151,0.20315349,-0.036750577,0.16111562,0.02711465,0.27642778,-0.09690129,0.14651808,-0.12159616,0.12991206,0.20427676,0.004430842,-0.19605753,0.038375616,-0.022688814,0.14851141,0.15576735,-0.045233015,-0.060379818,0.14164172,-0.06159244,-0.22555788,-0.070145294,-0.16932975,-0.12602632,0.08955748,0.006405307,0.1469861,-0.13045025,0.08606018,-0.04107384,0.047702704,0.07038381
DRUG_ATC_C3,-0.09433495,-0.01600969,0.030533765,-0.1304968,0.035146013,-0.00016806672,-0.21277417,0.029869884,-0.003062329,0.15861414,-0.103149764,-0.15060359,0.11617923,-0.13272919,-0.21275038,-0.047126945,0.05949717,0.009325191,-0.04666418,-0.062979534,-0.088788696,0.14316572,-0.08524405,-0.04703172,-0.23266149,0.06485531,-0.20169425,-0.09987251,-0.09829496,0.07726095,0.13567388,-0.17298143,-0.20256194,-0.08084719,-0.082228884,-0.05379485,0.18819813,0.116871454,-0.10357959,-0.045726985,0.1089476,-0.016547594,0.19527791,-0.043994866,0.08487222,-0.11077572,0.077933535,-0.17128488,-0.1330701,0.15178582,0.021446444,-0.01633585,-0.05685505,0.2418731,-0.13627867,0.225916,-0.14998457,-0.0146938665,-0.18187793,-0.10629707,0.07369331,-0.024726331,0.106138386,-0.24636781,0.04491076,0.18322532,-0.14895213,0.14782347,-0.12654512,-0.053172644,-0.05394731,0.17447203,-0.14657393,-0.16565698,0.15713163,0.110104576,-0.12487898,-0.0518225,-0.10103798,-0.11429579,-0.018021675,0.1845509,-0.02735953,0.049863525,0.09253229,0.06994342,0.08100586,-0.18239035,-0.12783243,0.014924158,-0.11337724,-0.11843016,-0.11137961,-0.16129461,-0.10934826,-0.053422507,0.05911048,-0.14853527,-0.12676044,-0.13030146
TYPE,-0.06693036,0.02773882,0.072713576,0.13868923,-0.11778518,-0.1598488,-0.15113477,-0.14315672,-0.0219977,-0.10182485,-0.030383345,-0.016301092,-0.042787474,-0.35689732,-0.03727714,-0.24933156,-0.07303007,0.23160672,0.11536537,0.082240656,-0.19724931,0.15063228,0.14933708,-0.3448012,-0.31460503,-0.09284804,0.10236541,-0.28614563,0.06279958,0.1499215,-0.05591774,-0.2655352,0.15696515,-0.15627176,0.11238554,0.36543325,-0.01950696,-0.2853891,-0.04850732,-0.0065198303,-0.092674635,-0.40319103,-0.16958988,0.28691766,0.05729231,0.0400348,0.008669435,-0.33057633,0.14038406,-0.084352374,0.3384272,0.12372463,-0.13047038,0.36696947,0.26398793,0.21611722,-0.28537822,-0.044414014,-0.054794047,-0.23215048,0.3494858,-0.028203934,-0.13766168,0.037809025,0.1468829,0.078724705,-0.110644005,-0.19497353,0.043488417,0.0058456985,0.22816066,0.17996958,0.12485138,0.08152716,0.16650261,0.25016865,-0.30131367,-0.37941378,0.05055266,-0.28563964,0.14810567,-0.2592391,-0.22506575,0.07092035,-0.10362329,0.061247867,0.08875042,0.19349305,0.17658521,0.06482743,0.19335757,-0.11230319,-0.0048061507,-0.17542602,-0.008309036,0.20401862,-0.015806561,-0.07781253,0.14190117,0.089613475
PATHWAY_CATEGORY,0.08651208,-0.004146635,0.11640737,-0.10154136,-0.096260175,-0.02435081,0.16133744,-0.15154894,-0.11508201,0.0047735097,0.13225718,-0.045956355,-0.029838493,-0.04558015,0.09454065,-0.12202361,0.28752202,0.20432848,0.06269264,0.16321753,-0.23552574,0.1557357,-0.14098667,0.242416,-0.063624285,0.2370589,0.15527846,0.24096467,0.009975166,0.08038601,0.13489313,-0.017226137,0.1649749,-0.10611891,0.15543702,-0.19365162,0.1228125,0.051840644,0.017619556,-0.043781184,0.20316175,-0.044983774,0.029472109,-0.12860484,0.04717333,-0.115280725,0.022110943,0.013450549,0.06943942,0.05394683,-0.09206366,0.18070132,-0.011823976,-0.06706497,-0.13915502,-0.1166812,-0.09372442,0.23356447,0.22198476,0.049828574,-0.23895644,-0.11025296,-0.038997274,0.0452714,-0.2636607,0.29725125,-0.329151,-0.094975606,-0.04863604,0.14230897,-0.04238774,0.068831176,-0.23350634,0.0912881,-0.1494091,0.22957341,0.0040422804,-0.015029793,-0.11836325,0.098602526,0.025687264,-0.16278511,-0.029218774,0.10225442,-0.21651286,-0.13201012,-0.04567187,0.12545852,-0.024588576,-0.01753208,0.23053274,0.23440938,-0.21689051,0.11577456,-0.019845773,0.0918067,0.081597,0.12331778,-0.00234388,-0.127871
DRUG_ATC_C4,-0.01042185,-0.18050532,0.02571402,0.06647026,0.13668561,-0.10229986,-0.17961977,-0.10495104,-0.22154902,0.010805118,-0.07239998,-0.13451266,-0.09354274,-0.15409319,-0.10450596,-0.111991785,-0.0006846945,-0.047570173,-0.17096049,0.0600146,-0.11518969,-0.057536,-0.0758004,0.027512524,-0.16592558,-0.13365825,-0.11256064,0.12526579,0.05302449,-0.0399452,-0.019910948,0.044524588,-0.10699244,-0.06091789,-0.016052367,0.1230593,-0.10512991,0.021086356,-0.067521974,-0.16018987,0.1705966,0.008717186,-0.009840339,0.09813279,0.09271966,0.16041926,-0.063049525,-0.10973024,-0.110900596,0.10916621,-0.015222688,-0.14591306,-0.1031639,-0.009403289,-0.021225655,0.14361097,0.0053485483,0.138254,-0.090594314,-0.07289019,-0.030767765,0.09612558,0.09220359,-0.1337131,-0.10679162,-0.0462953,-0.10328087,0.069007754,-0.13889316,0.15308487,-0.10025093,-0.045079477,0.05084619,0.06724716,0.17071116,-0.02137442,-0.036976427,-0.06972907,-0.116407014,-0.1239645,0.047557633,0.04551274,0.1022648,0.20505366,-0.08392489,-0.12114901,0.17933702,-0.16961625,-0.019910423,0.044279233,-0.12752421,0.13659371,0.017253136,-0.05159481,0.0013241576,-0.056368824,-0.18433239,-0.164365,-0.089737736,-0.08096115
