,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
DRUG_CATEGORY,-0.04335773,0.0151894335,-0.06490903,0.06896712,0.08133478,0.057090644,-0.06910374,0.032714494,-0.025985425,-0.049037684,-0.049948,-0.017170465,-0.06344003,-0.061749693,-0.110687636,-0.033883136,0.08564274,0.05222102,-0.093535915,-0.038172,0.08896546,-0.06207769,-0.027156964,0.097000174,-0.081408486,0.044556227,0.039538532,-0.08239842,-0.080593325,-0.09095405,0.071372144,0.09686395,0.08326261,0.05095232,0.04822034,0.055373423,0.107948124,-0.06416168,0.067265935,-0.0116118165,-0.08391189,-0.07599787,-0.022208642,0.07645594,0.019819107,0.0027334534,-0.053090654,-0.08889242,-0.034554683,-0.079388164,-0.029955287,-0.06442798,0.08825642,-0.038008176,0.022733888,0.086122625,0.0878254,0.0715016,0.09699674,0.062359676,-0.073904656,-0.0590981,-0.07968055,-0.114471994,0.045181885,0.074174955,-0.09495029,0.061349988,0.045402903,-0.10888162,-0.03258771,-0.006565928,0.048680887,-0.08218692,0.013467474,0.017522138,-0.056308456,0.058424808,0.047502406,-0.014424014,0.06848301,0.06984424,-0.077775255,-0.067949444,0.033420287,-0.023942785,0.07965276,0.094877675,-0.006948592,0.05267085,0.009946972,0.034600966,0.08127924,-0.081344195,0.012980564,-0.077624545,-0.06563542,-0.061835125,-0.020480365,-0.04237093,0.088286035,0.036847748,-0.062347125,-0.07771091,-0.07632142,-0.05389274,-0.0195248,-0.07692758,-0.046395473,0.035197847,0.085047714,0.0591878,0.035010114,0.102233775,0.014736974,0.080869585,0.032202847,0.09093308,0.06488982,0.07956666,-0.04881208,-0.0894084,0.0704965,0.03203034,-0.06834922,-0.03733385,0.09255697,-0.07131666,0.032784536,0.03222598,0.07289433,0.08169524,-0.07268566,-0.013843995,-0.017767608,-0.018633684,-0.081017226,0.061241332,0.059096854,-0.08452409,-0.056717977,-0.075303644,0.07421744,-0.040723525,-0.09535008,0.03941741,0.025735093,-0.06983151,0.06358111,0.088265084,0.07701822,0.07929189,-0.025428707,-0.0046066525,0.08789654,-0.09686865,0.056331236,-0.055046182,-0.09542145,-0.024232194,0.08764013,-0.07258417,0.08510395,0.025567822,-0.05371177,-0.037399646,0.017966084,-0.07269451,-0.08181713,0.08003428,0.010612762,-0.08461695,-0.0006895234,-0.07011035,-0.10129387,-0.07263871,-0.06528069,-0.11294211,-0.0464411,-0.0742363,-0.04414347,0.07275895,0.0627926,0.005942149,-0.09352208,-0.033228036,-0.0047054654,0.09407034,-0.048570737,0.04229953,0.057159588,0.079838194,-0.0083734775,0.08649003,-0.092849284,0.06435633,-0.07680305,1.2578808e-05,-0.055931948,0.07830842
PATHWAY_ENZYME,-0.11621308,-0.045169987,0.1020326,0.119597085,0.09095991,0.06825384,-0.07074004,-0.07452229,-0.028487857,-0.06690368,-0.020802468,0.08946123,-0.036919486,-0.017836286,-0.0394282,-0.10882868,0.06262699,-0.10499407,0.051628254,-0.08130138,0.052311264,0.11471084,-0.083518095,-0.092251986,-0.063619964,0.09954763,0.1308063,-0.031270485,0.11637804,-0.07057667,-0.07081781,0.03448563,0.03701951,0.09704528,-0.053352926,-0.07972298,0.033415817,0.08550847,0.03278086,-0.080435865,-0.060899004,-0.09450599,-0.036905233,0.028109346,0.037530683,-0.11990253,0.06727088,0.076351136,0.100303225,0.0761268,-0.07762001,-0.038997397,-0.05695179,-0.11194537,-0.045968674,-0.094233,-0.09331846,0.04528734,-0.07752081,-0.059845243,-0.06786601,-0.056491572,0.08264583,0.048104636,-0.09500791,-0.012745352,0.12113926,0.09721481,-0.07432723,0.052218717,-0.048069593,-0.10219087,-0.10468561,-0.10356412,-0.09612941,0.115136944,-0.013226996,0.065293536,-0.030677924,0.012739694,0.042198163,0.040599983,0.08112861,-0.11406275,0.11300251,0.054740902,0.080391526,-0.06350572,-0.101093546,-0.06411726,0.12482125,0.09300006,0.06608715,0.08493515,0.050046243,0.10131089,-0.04816544,-0.08981322,0.023530655,0.0774683,0.07559498,-0.09126491,-0.10650893,-0.08387747,-0.069923855,0.10643217,-0.09882444,-0.06411702,-0.09345339,0.016311448,-0.10022639,-0.07840632,-0.03675235,-0.03836128,-0.12241551,-0.099465765,0.0058122757,-0.020823322,-0.09185418,-0.066083685,-0.09070371,0.10527654,0.06746735,0.12799892,-0.081982836,-0.06519825,-0.08093151,0.099355854,0.06973135,0.051738124,-0.1026915,0.0698972,-0.08630139,-0.06987724,-0.114095755,0.10350678,0.03545031,-0.065471165,0.10448478,0.040799305,0.094688535,-0.04938442,0.079560086,0.06108323,0.033644445,0.06292751,-0.051852196,0.0921557,0.0930484,-0.069446325,-0.05441163,-0.042678904,-0.09790493,0.103348866,-0.035557117,-0.0374325,0.087880336,0.06344471,-0.100841366,0.11896692,0.0441359,0.07354271,0.06429467,0.14154139,0.07503963,0.123500764,0.041930266,-0.12026094,0.05130579,0.094625294,-0.07129234,-0.06890478,-0.0033389903,-0.025423901,0.06754235,0.08164989,0.05227316,0.032707885,0.07052305,0.074485,-0.116079286,-0.074870594,0.021528693,0.08464302,-0.10054596,-0.061533745,0.050211936,-0.075122155,-0.036035962,0.07408561,-0.10457292,0.081655696,0.11066286,-0.059400093,-0.047082216,0.087413974,-0.06266046,0.12753688,0.04801335,-0.030031694
DRUG_TARGET,0.030654922,0.07779951,0.07282426,-0.03565656,0.029251955,0.06834719,-0.14235139,-0.025989568,-0.10100473,-0.09723907,0.07945484,0.06426457,0.12133349,-0.09550988,-0.073880844,0.03494565,0.037037794,-0.04621777,-0.05696562,0.034069926,-0.052296143,0.05407534,-0.099904425,0.09781389,-0.013104408,0.08730366,0.05229329,-0.044878628,0.05937044,0.043704774,-0.062196508,0.019772451,0.036702577,0.033482917,0.05905918,-0.07471614,0.12400828,-0.013609709,-0.054523006,0.059288006,0.0016957045,0.0407818,-0.062290117,0.038979825,-0.034269653,-0.04639434,-0.058262907,0.062832825,0.0788733,-0.046182282,-0.06784415,-0.013680502,-0.018715024,-0.06456551,-0.04957104,0.055389322,0.08187056,-0.05958376,0.09071236,0.08583291,0.08055406,0.0344449,0.05310989,0.00024729912,0.08070221,-0.06125132,0.05871089,0.052517597,0.049335822,-0.045990758,-0.082774475,-0.018975383,0.05960752,0.006304427,-0.050361987,-0.07237739,-0.120027274,0.0451393,-0.04625672,-0.042793408,0.08529088,-0.061242297,-0.022094306,-0.09474332,-0.03345676,-0.07570708,-0.06928673,0.06884434,0.0656214,-0.08721588,-0.00038785365,-0.040479902,-0.066949375,0.05867043,0.061455958,-0.0431493,-0.037347697,-0.09778931,-0.014343852,-0.10526393,-0.034050073,-0.020982571,-0.105424754,-0.039330307,-0.06622622,0.07888768,-0.0032071858,-0.07091043,0.026668625,0.072727084,0.087774836,0.08873603,-0.11302369,0.08615096,-0.07193948,0.0071710073,0.105118014,0.08421085,0.04798935,0.06150638,0.0051308037,0.050743386,0.046664968,0.12837492,-0.0969857,-0.034625784,0.05347437,-0.050055802,-0.10283406,0.11020941,-0.035427775,-0.036049448,-0.07037586,-0.0794527,0.013204031,-0.091272116,0.056891177,0.022404362,0.11520185,0.09657441,-0.053375866,0.016754659,-0.062730186,0.07911295,0.006320421,0.03825256,0.10979927,-0.03718035,0.06443316,0.012546139,0.047187254,0.01352991,-0.05217432,-0.014252688,0.15404694,-0.051809482,0.06611212,0.021086866,-0.02846457,-0.025255365,0.10803808,0.055572044,-0.030832203,0.020961821,0.11003339,-0.07176445,-0.031002935,-0.10614418,-0.1147231,-0.054166567,0.02348733,-0.107029326,0.041190263,0.054033298,-0.10070803,0.037681848,0.030207617,-0.08739554,-0.10284953,-0.012500589,-0.0847577,-0.07395678,-0.103350855,-0.0050354204,-0.11279197,-0.11814619,0.10480466,-0.038395382,0.035357863,0.0002878058,-0.04342569,0.067758106,0.08950202,0.027700903,-0.066574685,-0.049299117,0.051000826,0.036708895,-0.028120253,-0.063000455
DRUG_ATC_C5,0.0055643935,0.004477135,0.049949173,0.075143605,-0.012288146,0.07395091,0.030939933,-0.085674055,0.03175546,0.033342164,0.07709968,0.09299475,-0.07547433,0.0463588,-0.102217555,-0.0355449,-0.06092167,0.018040014,-0.08676756,-0.03753542,-0.05011587,-0.081224106,0.0071756938,-0.006910852,-0.024160365,0.0032780375,-0.058741964,-0.060187623,-0.013965614,0.012978597,0.04350141,-0.029426223,0.042821314,-0.052807204,-0.04743503,0.0054306523,0.075846665,-0.07252722,-0.063148685,-0.065537766,-0.07160415,-0.037660066,0.0073381914,0.03851358,-0.024482733,-0.064578965,0.05096568,-0.073858805,-0.029975193,-0.1240295,-0.046196863,-0.087471046,-0.011150682,-0.0055018542,-0.005608097,-0.0005042897,0.0585344,0.020539014,-0.027136842,-0.04137447,-0.017643606,-0.06415819,-0.05319696,-0.11877158,-0.03859823,-0.015803425,0.034095768,-0.088855006,-0.03826667,0.0339273,0.046782665,0.107781075,-0.055612687,-0.008060914,0.051857796,0.016981361,-0.0069650575,0.088370614,-0.051282812,0.004932615,0.081766,0.060209844,-0.0866898,0.0011476103,0.07509497,-0.052794922,-0.043760728,0.0016143933,0.041539416,-0.07028661,-0.07739711,0.048762158,0.0017684127,0.037437323,0.06624851,0.022563105,0.034464713,0.022273969,0.078044005,0.0017977182,0.047915943,-0.026014011,0.045864433,-0.02982764,-0.005604965,0.0057908115,-0.03749969,-0.0778836,-0.03539427,-0.07342466,0.08840867,-0.07167782,0.013509706,-0.04344855,0.012888329,0.09003851,-0.033549454,0.09660573,0.011189882,0.07264755,-0.07183387,0.009756272,0.013277773,-0.045012157,0.0077482103,0.0069833817,0.038051147,0.02530786,-0.06258685,0.031203259,0.049261402,-0.068904966,0.021590305,0.03217768,-0.08824799,-0.028536843,-0.06585472,0.063638434,0.06555616,-0.055205483,-0.024374375,-0.07490018,-0.039522603,0.009834546,-0.002295033,-0.05255491,0.02867861,0.06779434,0.094005674,0.053086787,0.045188505,-0.08558249,-0.015457663,0.033588354,0.04984596,-0.11175858,-0.016191075,-0.052120287,-0.06690026,-0.07415236,0.08579137,-0.07296281,-0.014973484,0.018206596,0.034736663,-0.0072345706,0.05450243,-0.024396274,0.044014566,-0.022159664,-0.08776193,-0.09337554,-0.08989283,0.00403374,-0.12908551,-0.07915169,-0.018055413,-0.07377669,0.021968048,-0.06839201,0.07698723,-0.063749254,-0.058979582,0.060876127,-0.0625599,-0.05878731,0.007294035,0.06382435,0.04497863,0.02288763,0.071747914,0.023405915,-0.041052256,0.08005033,0.04816521,0.089762874,0.016376218,-0.060461774,0.048560683,0.028101161
DRUG_ATC_C2,-0.05237652,0.08373984,-0.01673415,0.09103294,-0.068094455,0.08834755,0.010448661,-0.016401684,-0.089399755,0.08951679,-0.051990263,-0.009737056,-0.15388727,-0.011061741,-0.107681304,-0.123291165,-0.04753607,0.061008286,-0.09594483,0.03634092,0.011313319,-0.10449508,-0.07415427,0.0913615,-0.011239125,0.10242316,-0.10887656,-0.15717588,-0.07662758,-0.06814855,-0.083847165,0.084562145,0.0070247487,0.063906655,0.04431864,-0.07489363,0.15771057,0.05056661,0.08212485,-0.10570667,-0.0063640974,-0.12806876,0.00078750297,0.002188819,-0.038160186,0.04488057,-0.0774847,0.042408798,0.02923344,-0.053575177,-0.1261761,0.01323744,0.0951427,-0.03267337,0.029263504,0.07641926,0.02545315,0.15074499,0.08920571,0.070051536,-0.02102877,0.0715548,0.0601763,-0.11041655,0.055642307,-0.034458786,-0.011118848,-0.07114105,0.13407433,-0.032432206,0.060421642,-0.08302278,-0.094913,0.06054997,0.050026532,0.0790672,0.021254022,-0.02606515,0.024814846,-0.05929375,-0.012284772,-0.037656464,0.026716609,-0.056441113,-0.07649124,-0.10869917,0.068246596,-0.05346884,-0.05710897,-0.08871902,0.092597656,0.08584854,0.08057699,0.06706737,-0.08132886,0.07286384,0.048322193,-0.14375325,0.122455865,-0.080324635,-0.11264186,-0.019816175,0.08954325,-0.03536242,-0.08658368,0.026184611,0.06480975,-0.037644785,-0.12359564,-0.11118755,-0.025220104,0.019727886,-0.10855364,0.16019556,0.08555635,-0.0029318582,-0.080243796,0.09959399,-0.05958196,0.03682527,0.06307092,-0.033490624,0.22143424,-0.02735551,-0.10512156,0.066764645,0.072665624,-0.0804139,0.010838982,0.009518079,-0.018747259,-0.014592112,-0.043316904,0.07581478,0.014838145,-0.035528503,-0.1364034,-0.027021056,-0.012621759,-0.061845753,-0.07588383,-0.07325956,-0.06645742,0.03078468,0.08505493,0.08752721,0.13107263,-0.08836231,0.09014101,-0.04347521,0.15414034,0.02512645,0.04081191,0.119481415,0.18187203,-0.021192158,-0.009125847,-0.09382071,-0.06433759,-0.08745917,-3.0174659e-05,-0.113580406,0.06722343,0.0058825277,0.1559128,0.02137983,-0.082972884,-0.02220672,0.083943866,-0.014618119,-0.07543289,-0.022456842,-0.02430832,0.053920735,-0.07126236,0.06322424,0.06525741,-0.020304827,-0.12762077,0.01333602,0.028461982,0.04244742,-0.042215098,0.002454327,-0.049040474,0.010451248,0.087013096,-0.043557294,0.11093987,0.031180374,0.15717947,-0.0047151605,-0.12809265,-0.03470881,-0.044310767,-0.060133833,-0.009352432,-0.04033056,0.0003652491,0.057359718
DRUG_PATHWAY,-0.021707634,-0.044463865,0.048306674,-0.088557005,0.055631164,-0.037090726,-0.13425149,-0.06170287,-0.05515283,-0.0041488796,0.010920354,-0.09059017,0.043235593,0.13618346,0.015381393,0.1474773,-0.028290069,0.11436398,-0.121534884,0.006627221,-0.0138782635,-0.08224162,-0.09869403,0.14925718,-0.038169973,0.03773331,-0.1165798,0.045516726,-0.054099258,-0.0033939348,-0.04134474,0.03250147,-0.06693735,0.054134306,0.092639595,0.07921145,0.100744605,-0.07055115,-0.058808517,-0.024731442,-0.00948676,-0.053604983,-0.08691037,0.109075695,0.06424598,0.065403804,0.02592532,-0.11708047,0.09048017,0.03801986,0.06464721,0.06541618,0.149635,0.03059674,0.10458306,0.12712508,0.16828473,0.041054092,0.12777624,-0.042940214,0.012485185,0.1331303,0.07218553,-0.086386316,0.0073999986,0.09912698,-0.015391726,-0.07696434,0.09792368,0.045969006,0.081528135,0.0990345,0.10722889,0.112006396,0.09630432,-0.14053904,-0.065683626,0.03759066,0.078074925,0.04007793,-0.072002254,0.079131775,-0.118252814,0.12700988,0.031945277,-0.09841058,-0.13800117,0.02832162,-0.053092957,0.052227404,-0.13770051,-0.085267514,-0.061335776,-0.14592251,0.09333307,-0.06365654,0.031149298,-0.05129532,0.09392138,-0.113326326,0.050976798,0.09399129,-0.018544665,0.090790875,0.12097204,-0.02480487,0.10673299,0.018225053,0.0034025558,0.028306106,-0.0056658112,0.05419032,-0.039108254,0.011213241,-0.010197271,-0.04042942,0.058134563,0.09368109,0.015169146,0.13112965,0.03640059,-0.05183977,0.0006964922,0.049497932,-0.0239769,-0.0027917519,0.038380068,-0.1624647,-0.100134835,0.05014671,-0.027908687,0.024026131,0.09833372,0.073130496,0.019367348,-0.024930868,-0.10665954,-0.008850088,-0.06460562,0.07177268,-0.056552336,-0.07279074,-0.16243154,0.047716405,-0.03509866,-0.011305867,-0.03940595,-0.00980261,0.06549649,0.016510997,0.05277474,-0.020420237,-0.055982187,-0.13607559,0.16639964,0.07975229,-0.09687665,0.0057884646,0.12292241,-0.1642376,0.06336415,-0.07930184,-0.10562207,-0.1150936,-0.010432561,-0.058062524,-0.10275934,0.08064962,-0.056603376,-0.07801716,0.035457715,0.011217522,-0.04713423,-0.00801365,0.0029808076,-0.1100743,-0.021916293,-0.14833072,-0.094578505,-0.1520876,-0.0016351197,-0.0065859663,-0.016241714,-0.02768576,-0.07500015,-0.022080619,-0.13356146,-0.05839876,0.10027979,-0.03524328,0.16134119,0.06489791,-0.0614473,0.030433025,0.005855788,0.034167256,0.006396327,0.0063947258,-0.121000804,-0.016772127
DRUG_ATC_C3,0.09502054,0.10601777,0.1250733,-0.026140384,0.029922344,0.053236663,-0.010542539,-0.08166898,-0.024497945,-0.04380338,0.01271123,0.08971778,-0.05344364,-0.09180132,-0.04431622,-0.07746441,0.059049923,0.095598795,-0.16211349,0.117257,-0.047319036,-0.11981163,-0.03027177,0.064349584,0.03873256,0.041591447,-0.037260197,-0.14170472,0.022270007,0.04123266,-0.08083889,0.14370222,-0.024518304,0.011982856,0.07826825,-0.0638779,-0.0043942835,-0.053932663,0.10917194,-0.030321904,0.064521804,-0.056536432,-0.099503994,0.012226265,-0.040492672,0.009677326,0.076134354,-0.05726527,0.10213494,-0.07675147,-0.057068117,0.036197092,-0.013341194,-0.10455388,0.07202789,-0.06349006,0.061702605,0.13227674,0.08138415,-0.02877474,-0.06713076,-0.086236104,0.1053317,-0.13013582,-0.033923037,0.019647129,-0.014882143,-0.09705799,-0.07572742,-0.13206361,-0.06391563,-0.10930471,0.06357293,-0.015806234,0.037095733,0.06950344,0.08028047,-0.054573953,-0.07786097,0.086777695,0.040094078,0.052195366,-0.0890127,0.0045357067,0.09959287,-0.11560818,-0.03622508,0.020598851,0.110734455,0.013524574,-0.052868124,-0.11227463,-0.027111823,0.03741482,0.06763821,0.072409354,-0.044044323,0.039135586,0.09199102,-0.104458675,-0.1406146,-0.018411983,-0.036768146,-0.10612147,-0.068462625,0.08421395,0.07082219,-0.0429026,-0.05556154,-0.0466695,0.09213762,0.07222382,-0.053630587,0.07048553,0.06906666,0.02664654,-0.10028864,0.12177058,-0.07988314,0.03530737,0.106977105,-0.107354715,0.115524195,-0.002695746,-0.06717615,-0.06569709,0.10450533,-0.039477304,-0.07625972,-0.049661953,-0.019938493,-0.08142102,-0.088557586,-0.065628365,-0.13533185,-0.0659019,-0.041605987,0.116998985,0.0032055874,-0.09503745,-0.012065641,0.049192414,-0.06997553,-0.07309147,0.06047924,0.07047374,0.065978795,0.107876234,0.06260697,0.048566632,0.025460701,0.048549414,-0.015128937,0.0032379476,0.046938695,-0.09261719,0.1032438,-0.09504878,-0.10786251,0.059314854,-0.036895905,0.009586987,0.10529856,-0.039062433,0.087063506,0.044978853,0.093632534,-0.06733108,-0.10163485,-0.020928252,-0.11114908,-0.047911484,0.09501905,-0.022237502,-0.12432216,-0.16290678,-0.09862698,-0.09536586,-0.084919535,-0.0008083329,-0.07029005,-0.043921933,-0.090591155,-0.08689469,-0.023213372,-0.07069274,-0.009778243,0.044714704,-0.030845538,-0.04830874,0.07635633,-0.03736205,-0.039931767,0.065876946,0.04549097,0.047582936,0.037884347,-0.06766894,-0.051923934,-0.08966999
TYPE,0.031684037,0.041317984,0.088959776,-0.1357184,0.09925193,0.15607741,-0.217227,0.12107143,0.021013537,-0.18872865,0.1419656,0.17665641,-0.0778514,-0.023584994,-0.23607396,-0.11516652,-0.087076955,0.23246205,-0.07930097,-0.031322945,-0.27634516,-0.042197164,-0.116955884,0.021027068,-0.06413706,0.18616459,0.12899062,-0.16898344,0.051148176,-0.16940977,0.035789143,-0.02075351,0.034709092,-0.16571169,0.103819504,-0.11846942,-0.005659852,0.0379347,0.18943007,-0.16354792,-0.06022723,-0.02375638,-0.047091495,0.16515657,-0.0057762093,-0.07192473,0.10711794,-0.14170673,0.094243936,-0.06503472,-0.2437065,-0.021736449,0.12349114,-0.2092113,-0.11629567,0.19189915,0.1935731,-0.13269235,0.07804333,-0.14164667,-0.052679487,0.02555302,-0.13632096,-0.28671864,-0.10994163,-0.058207985,-0.031213373,-0.08623612,-0.11005906,-0.13722184,-0.28182822,0.06635952,-0.079258285,0.1331084,-0.07264624,-0.02101446,-0.017177913,0.04868414,0.2271632,-0.085606165,0.06740756,0.039299637,-0.013560618,-0.264061,0.1589184,-0.010346504,-0.14647135,0.20266494,0.1713707,-0.30946544,-0.15081875,-0.06596063,0.1354723,-0.12372817,0.027748859,0.07787013,0.11884412,0.107675456,-0.11595533,-0.22369346,-0.2147927,-0.13619034,0.13259363,0.013372058,-0.20236143,0.062613234,-0.09386141,-0.18202902,0.0966876,0.104502976,-0.07294834,-0.12277327,-0.11563427,-0.10084717,0.101751626,0.23512013,0.047018483,0.0073158243,0.18209119,-0.05345338,0.10508137,-0.22133528,-0.10368771,-0.02601725,-0.17654781,-0.0094552785,-0.080121845,-0.0677891,-0.003275318,0.22624816,-0.031554107,-0.10114817,-0.21986212,0.028194495,-0.11995342,-0.057009492,-0.12031732,-0.06186131,-0.010785751,0.103997394,0.19248545,-0.17739025,0.05959292,-0.08258496,-0.25982592,-0.019374238,-0.049012747,0.11964015,0.02936622,-0.13066341,0.15402544,0.07960583,0.008773622,0.10883351,0.27442122,0.09478536,0.11800703,0.07660563,0.008414031,-0.034752596,0.088493265,-0.14667138,0.21662812,-0.09470576,0.196626,-0.009155379,-0.08177388,0.0015381003,0.020282436,0.07003936,-0.15339546,0.08685329,-0.10959966,0.1240944,0.009349351,-0.09518171,0.13716397,-0.16170457,-0.09607307,-0.07002773,0.15076509,-0.14251591,0.13322294,-0.11294986,-0.15039307,-0.027077386,-0.07713617,-0.13529554,-0.21715343,-0.12500538,0.034952108,0.07260229,-0.04235283,-0.14011522,-0.22859387,0.1726389,-0.08110609,0.17622015,0.12960783,-0.092576176
PATHWAY_CATEGORY,-0.0012428564,0.08000541,0.018048998,0.11082938,0.21045189,-0.034422293,0.024379985,0.032951355,0.09692744,0.067194656,-0.07465478,-0.026664855,-0.062063657,-0.055352356,-0.036287718,-0.11671939,0.19662914,-0.035890166,-0.0047541237,-0.01802315,-0.038582057,0.17324232,0.10762645,-0.07974695,-0.104707435,0.18152761,-0.042245626,0.075825475,0.18595996,-0.03260862,0.020893672,0.1029148,0.10312781,-0.006452099,0.021506593,0.012677032,-0.057331137,0.16507572,-0.043824226,0.108141996,0.0031462724,-0.09340635,0.23537526,0.08211945,-0.10678014,-0.13284677,-0.091328084,-0.04810624,0.107169405,0.0598951,-0.040588457,-0.036718782,0.040097296,-0.19214232,-0.1247777,-0.046229526,-0.11205502,-0.0061574327,-0.08685091,0.023137154,0.0039551225,-0.048333824,0.22131063,-0.08950787,-0.1187341,0.021329148,0.079460874,-0.014660859,-0.058752473,0.026990138,0.040287293,-0.09315755,0.026774919,0.01714151,-0.052540787,0.29707065,-0.10310029,-0.0155288065,-0.06771366,0.05806264,0.024719486,-0.088375576,-0.012135746,-0.03632947,0.09858872,0.015215906,0.034131516,-0.1161092,-0.018952638,0.023896713,0.057606567,0.14321989,-0.03674075,0.008304579,0.09194636,0.009822111,0.059653863,0.021917801,-0.041273564,0.02656364,-0.086271286,-0.07406685,-0.06266607,0.034013122,-0.08158415,0.016699255,-0.050117224,0.0777379,-0.008821696,0.11457152,-0.03186673,-0.007479545,0.049913477,0.033077344,-0.11738124,-0.109571226,-0.012025107,0.00764509,0.015418784,-0.122273564,-0.093259655,0.13995963,-0.05984448,0.05469621,-0.059058696,-0.02058671,-0.03805333,0.060093485,0.031315695,0.15689047,-0.089666,-0.058599297,-0.14449506,0.0017833608,-0.043986477,0.061679292,0.047853,-0.13029432,0.10698672,0.060623746,0.0071318075,0.09059274,0.08276592,0.023879182,0.03506833,0.08657423,-0.18174857,0.099868424,0.019176932,0.0023415317,-0.04001275,-0.03855345,0.113854095,0.057373818,-0.11572403,0.061856523,0.11848166,-0.044449642,-0.17987533,-0.06515032,-0.08296758,-0.031731345,-0.08227723,0.06986999,-0.0659311,0.02685708,-0.00464701,-0.19568805,0.091667,-0.08991594,-0.06609735,-0.045999475,0.128392,-0.011713778,-0.06460143,0.01974169,0.045722127,-0.032554317,0.09994227,0.096054874,-0.1663375,0.06359818,0.15394828,0.05347729,0.033252645,-0.16008925,0.057749487,-0.066582516,-0.07617158,0.16849574,-0.07156297,-0.011297476,0.10645725,-0.11066808,0.07268917,0.059275974,-0.02368751,0.09932558,0.12327696,0.08866143
DRUG_ATC_C4,0.024497705,-0.025527159,0.060324755,-0.031411782,0.12090878,0.06250423,0.03543339,-0.00041149874,-0.06543678,0.04285755,-0.0013777053,0.011528505,-0.13459523,0.053955328,-0.066129275,-0.13953641,0.044451825,0.07638833,-0.07311859,0.15850087,0.04952313,-0.010213624,0.023728352,0.103365965,-0.067348115,-0.040076114,-0.110656746,-0.11470124,-0.1146954,0.0058795093,-0.0013598426,0.093762614,0.092271656,-0.06559764,-0.055687647,-0.06893923,0.09454777,0.064218126,0.09317105,0.033047352,0.013448241,-0.042996544,-0.078619175,0.007960732,-0.0065993876,0.055629358,0.07794797,0.03007219,0.08736125,0.023783728,-0.09101096,-0.026552683,0.034652025,-0.044350162,0.115659915,0.039853834,0.00033366357,-0.024262508,-0.05501333,0.03621988,0.0820714,-0.07704487,0.013682129,-0.17212646,0.050819736,0.013123788,-0.06933877,-0.0643339,0.03533734,-0.054503422,-0.046561405,0.00022153815,-0.068570495,0.053703036,0.042351633,-0.06237907,-0.11092409,-0.02874258,0.009599754,0.097467065,0.006885292,-0.013032211,-0.102234475,-0.019381821,0.011480968,-0.07520939,-0.07399076,0.08128256,-0.055901375,0.019840086,0.11682576,0.10935318,0.0765027,0.0451456,-0.06615983,0.054915458,0.00881876,-0.14140953,0.13495184,-0.11391282,-0.101450294,-0.03553427,-0.048937842,-0.059991244,0.03778182,-0.01126116,0.0020113562,-0.058239978,0.07521237,0.10295465,0.08982944,0.10466982,-0.088341124,0.09770696,0.0052791443,0.122386254,-0.08703798,0.027399145,-0.05946025,0.12558763,0.06302645,-0.08340506,0.050558105,-0.045010317,-0.057079814,-0.03754152,-0.04434038,0.025224518,-0.04332274,-0.012883627,0.09265526,0.12481851,0.021189224,-0.030118776,-0.11362112,-0.06608521,-0.030849233,0.03684298,0.06734613,-0.05329668,-0.06822557,-0.054494023,-0.07191472,-0.07448122,-0.0039124642,0.022230022,-0.013557791,0.07669676,0.060723577,-0.08108452,-0.0046720915,0.024433997,-0.06414715,-0.0016954895,0.09761784,-0.025472555,0.10001852,-0.045685463,0.02748768,-0.056448236,0.05270922,-0.033791605,0.05939801,0.06843525,-0.024235416,-0.08042726,0.021097993,-0.06457834,-0.09362319,-0.028683158,-0.07710736,0.009588293,0.052218508,0.020420441,-0.11675801,-0.11217438,-0.032747503,0.051169463,-0.08008776,-0.07517239,-0.043899685,-0.051793378,-0.10989295,-0.06760848,-0.11562429,-0.044024896,-0.058750648,-0.10259849,-0.005057098,0.023321884,0.09567248,-0.09542941,-0.09853084,0.0029678668,0.11942848,0.082017735,-0.022386482,-0.087629594,-0.107838936,0.0950468
